file,family,size,num_jobs,num_mchs,machine_a,machine_b,count_a_before_b,count_b_before_a,p_a_before_b,bias_from_0_5,dominant_direction,dominant_probability,family_size
abz5,abz,10x10,10,10,4,9,8,2,0.8,0.30000000000000004,4->9,0.8,abz_10x10
abz5,abz,10x10,10,10,5,6,3,7,0.3,0.2,6->5,0.7,abz_10x10
abz5,abz,10x10,10,10,5,7,6,4,0.6,0.09999999999999998,5->7,0.6,abz_10x10
abz5,abz,10x10,10,10,5,8,5,5,0.5,0.0,5->8,0.5,abz_10x10
abz5,abz,10x10,10,10,5,9,7,3,0.7,0.19999999999999996,5->9,0.7,abz_10x10
abz5,abz,10x10,10,10,6,7,7,3,0.7,0.19999999999999996,6->7,0.7,abz_10x10
abz5,abz,10x10,10,10,6,8,5,5,0.5,0.0,6->8,0.5,abz_10x10
abz5,abz,10x10,10,10,6,9,7,3,0.7,0.19999999999999996,6->9,0.7,abz_10x10
abz5,abz,10x10,10,10,7,8,4,6,0.4,0.09999999999999998,8->7,0.6,abz_10x10
abz5,abz,10x10,10,10,7,9,7,3,0.7,0.19999999999999996,7->9,0.7,abz_10x10
abz5,abz,10x10,10,10,8,9,7,3,0.7,0.19999999999999996,8->9,0.7,abz_10x10
abz6,abz,10x10,10,10,0,1,6,4,0.6,0.09999999999999998,0->1,0.6,abz_10x10
abz6,abz,10x10,10,10,0,2,3,7,0.3,0.2,2->0,0.7,abz_10x10
abz6,abz,10x10,10,10,0,3,5,5,0.5,0.0,0->3,0.5,abz_10x10
abz6,abz,10x10,10,10,0,4,4,6,0.4,0.09999999999999998,4->0,0.6,abz_10x10
abz6,abz,10x10,10,10,0,5,3,7,0.3,0.2,5->0,0.7,abz_10x10
abz6,abz,10x10,10,10,0,6,3,7,0.3,0.2,6->0,0.7,abz_10x10
abz6,abz,10x10,10,10,0,7,4,6,0.4,0.09999999999999998,7->0,0.6,abz_10x10
abz6,abz,10x10,10,10,0,8,3,7,0.3,0.2,8->0,0.7,abz_10x10
abz6,abz,10x10,10,10,0,9,2,8,0.2,0.3,9->0,0.8,abz_10x10
abz6,abz,10x10,10,10,1,2,3,7,0.3,0.2,2->1,0.7,abz_10x10
abz6,abz,10x10,10,10,1,3,3,7,0.3,0.2,3->1,0.7,abz_10x10
abz6,abz,10x10,10,10,1,4,4,6,0.4,0.09999999999999998,4->1,0.6,abz_10x10
abz6,abz,10x10,10,10,1,5,3,7,0.3,0.2,5->1,0.7,abz_10x10
abz6,abz,10x10,10,10,1,6,5,5,0.5,0.0,1->6,0.5,abz_10x10
abz6,abz,10x10,10,10,1,7,5,5,0.5,0.0,1->7,0.5,abz_10x10
abz6,abz,10x10,10,10,1,8,3,7,0.3,0.2,8->1,0.7,abz_10x10
abz6,abz,10x10,10,10,1,9,2,8,0.2,0.3,9->1,0.8,abz_10x10
abz6,abz,10x10,10,10,2,3,4,6,0.4,0.09999999999999998,3->2,0.6,abz_10x10
abz6,abz,10x10,10,10,2,4,5,5,0.5,0.0,2->4,0.5,abz_10x10
abz6,abz,10x10,10,10,2,5,2,8,0.2,0.3,5->2,0.8,abz_10x10
abz6,abz,10x10,10,10,2,6,4,6,0.4,0.09999999999999998,6->2,0.6,abz_10x10
abz6,abz,10x10,10,10,2,7,5,5,0.5,0.0,2->7,0.5,abz_10x10
abz6,abz,10x10,10,10,2,8,5,5,0.5,0.0,2->8,0.5,abz_10x10
abz6,abz,10x10,10,10,2,9,5,5,0.5,0.0,2->9,0.5,abz_10x10
abz6,abz,10x10,10,10,3,4,5,5,0.5,0.0,3->4,0.5,abz_10x10
abz6,abz,10x10,10,10,3,5,4,6,0.4,0.09999999999999998,5->3,0.6,abz_10x10
abz6,abz,10x10,10,10,3,6,6,4,0.6,0.09999999999999998,3->6,0.6,abz_10x10
abz6,abz,10x10,10,10,3,7,3,7,0.3,0.2,7->3,0.7,abz_10x10
abz6,abz,10x10,10,10,3,8,3,7,0.3,0.2,8->3,0.7,abz_10x10
abz6,abz,10x10,10,10,3,9,3,7,0.3,0.2,9->3,0.7,abz_10x10
abz6,abz,10x10,10,10,4,5,4,6,0.4,0.09999999999999998,5->4,0.6,abz_10x10
abz6,abz,10x10,10,10,4,6,7,3,0.7,0.19999999999999996,4->6,0.7,abz_10x10
abz6,abz,10x10,10,10,4,7,4,6,0.4,0.09999999999999998,7->4,0.6,abz_10x10
abz6,abz,10x10,10,10,4,8,5,5,0.5,0.0,4->8,0.5,abz_10x10
abz6,abz,10x10,10,10,4,9,4,6,0.4,0.09999999999999998,9->4,0.6,abz_10x10
abz6,abz,10x10,10,10,5,6,7,3,0.7,0.19999999999999996,5->6,0.7,abz_10x10
abz6,abz,10x10,10,10,5,7,6,4,0.6,0.09999999999999998,5->7,0.6,abz_10x10
abz6,abz,10x10,10,10,5,8,6,4,0.6,0.09999999999999998,5->8,0.6,abz_10x10
abz6,abz,10x10,10,10,5,9,6,4,0.6,0.09999999999999998,5->9,0.6,abz_10x10
abz6,abz,10x10,10,10,6,7,4,6,0.4,0.09999999999999998,7->6,0.6,abz_10x10
abz6,abz,10x10,10,10,6,8,5,5,0.5,0.0,6->8,0.5,abz_10x10
abz6,abz,10x10,10,10,6,9,4,6,0.4,0.09999999999999998,9->6,0.6,abz_10x10
abz6,abz,10x10,10,10,7,8,4,6,0.4,0.09999999999999998,8->7,0.6,abz_10x10
abz6,abz,10x10,10,10,7,9,4,6,0.4,0.09999999999999998,9->7,0.6,abz_10x10
abz6,abz,10x10,10,10,8,9,6,4,0.6,0.09999999999999998,8->9,0.6,abz_10x10
abz7,abz,20x15,20,15,0,1,8,12,0.4,0.09999999999999998,1->0,0.6,abz_20x15
abz7,abz,20x15,20,15,0,2,10,10,0.5,0.0,0->2,0.5,abz_20x15
abz7,abz,20x15,20,15,0,3,7,13,0.35,0.15000000000000002,3->0,0.65,abz_20x15
abz7,abz,20x15,20,15,0,4,9,11,0.45,0.04999999999999999,4->0,0.55,abz_20x15
abz7,abz,20x15,20,15,0,5,7,13,0.35,0.15000000000000002,5->0,0.65,abz_20x15
abz7,abz,20x15,20,15,0,6,9,11,0.45,0.04999999999999999,6->0,0.55,abz_20x15
abz7,abz,20x15,20,15,0,7,10,10,0.5,0.0,0->7,0.5,abz_20x15
abz7,abz,20x15,20,15,0,8,9,11,0.45,0.04999999999999999,8->0,0.55,abz_20x15
abz7,abz,20x15,20,15,0,9,7,13,0.35,0.15000000000000002,9->0,0.65,abz_20x15
abz7,abz,20x15,20,15,0,10,10,10,0.5,0.0,0->10,0.5,abz_20x15
abz7,abz,20x15,20,15,0,11,10,10,0.5,0.0,0->11,0.5,abz_20x15
abz7,abz,20x15,20,15,0,12,6,14,0.3,0.2,12->0,0.7,abz_20x15
abz7,abz,20x15,20,15,0,13,9,11,0.45,0.04999999999999999,13->0,0.55,abz_20x15
abz7,abz,20x15,20,15,0,14,10,10,0.5,0.0,0->14,0.5,abz_20x15
abz7,abz,20x15,20,15,1,2,9,11,0.45,0.04999999999999999,2->1,0.55,abz_20x15
abz7,abz,20x15,20,15,1,3,9,11,0.45,0.04999999999999999,3->1,0.55,abz_20x15
abz7,abz,20x15,20,15,1,4,14,6,0.7,0.19999999999999996,1->4,0.7,abz_20x15
abz7,abz,20x15,20,15,1,5,9,11,0.45,0.04999999999999999,5->1,0.55,abz_20x15
abz7,abz,20x15,20,15,1,6,12,8,0.6,0.09999999999999998,1->6,0.6,abz_20x15
abz7,abz,20x15,20,15,1,7,12,8,0.6,0.09999999999999998,1->7,0.6,abz_20x15
abz7,abz,20x15,20,15,1,8,10,10,0.5,0.0,1->8,0.5,abz_20x15
abz7,abz,20x15,20,15,1,9,9,11,0.45,0.04999999999999999,9->1,0.55,abz_20x15
abz7,abz,20x15,20,15,1,10,11,9,0.55,0.050000000000000044,1->10,0.55,abz_20x15
abz7,abz,20x15,20,15,1,11,11,9,0.55,0.050000000000000044,1->11,0.55,abz_20x15
abz7,abz,20x15,20,15,1,12,9,11,0.45,0.04999999999999999,12->1,0.55,abz_20x15
abz7,abz,20x15,20,15,1,13,11,9,0.55,0.050000000000000044,1->13,0.55,abz_20x15
abz7,abz,20x15,20,15,1,14,11,9,0.55,0.050000000000000044,1->14,0.55,abz_20x15
abz7,abz,20x15,20,15,2,3,7,13,0.35,0.15000000000000002,3->2,0.65,abz_20x15
abz7,abz,20x15,20,15,2,4,10,10,0.5,0.0,2->4,0.5,abz_20x15
abz7,abz,20x15,20,15,2,5,6,14,0.3,0.2,5->2,0.7,abz_20x15
abz7,abz,20x15,20,15,2,6,9,11,0.45,0.04999999999999999,6->2,0.55,abz_20x15
abz7,abz,20x15,20,15,2,7,10,10,0.5,0.0,2->7,0.5,abz_20x15
abz7,abz,20x15,20,15,2,8,9,11,0.45,0.04999999999999999,8->2,0.55,abz_20x15
abz7,abz,20x15,20,15,2,9,10,10,0.5,0.0,2->9,0.5,abz_20x15
abz7,abz,20x15,20,15,2,10,9,11,0.45,0.04999999999999999,10->2,0.55,abz_20x15
abz7,abz,20x15,20,15,2,11,8,12,0.4,0.09999999999999998,11->2,0.6,abz_20x15
abz7,abz,20x15,20,15,2,12,10,10,0.5,0.0,2->12,0.5,abz_20x15
abz7,abz,20x15,20,15,2,13,8,12,0.4,0.09999999999999998,13->2,0.6,abz_20x15
abz7,abz,20x15,20,15,2,14,8,12,0.4,0.09999999999999998,14->2,0.6,abz_20x15
abz7,abz,20x15,20,15,3,4,14,6,0.7,0.19999999999999996,3->4,0.7,abz_20x15
abz7,abz,20x15,20,15,3,5,7,13,0.35,0.15000000000000002,5->3,0.65,abz_20x15
abz7,abz,20x15,20,15,3,6,13,7,0.65,0.15000000000000002,3->6,0.65,abz_20x15
abz7,abz,20x15,20,15,3,7,10,10,0.5,0.0,3->7,0.5,abz_20x15
abz7,abz,20x15,20,15,3,8,10,10,0.5,0.0,3->8,0.5,abz_20x15
abz7,abz,20x15,20,15,3,9,11,9,0.55,0.050000000000000044,3->9,0.55,abz_20x15
abz7,abz,20x15,20,15,3,10,12,8,0.6,0.09999999999999998,3->10,0.6,abz_20x15
abz7,abz,20x15,20,15,3,11,12,8,0.6,0.09999999999999998,3->11,0.6,abz_20x15
abz7,abz,20x15,20,15,3,12,13,7,0.65,0.15000000000000002,3->12,0.65,abz_20x15
abz7,abz,20x15,20,15,3,13,12,8,0.6,0.09999999999999998,3->13,0.6,abz_20x15
abz7,abz,20x15,20,15,3,14,10,10,0.5,0.0,3->14,0.5,abz_20x15
abz7,abz,20x15,20,15,4,5,5,15,0.25,0.25,5->4,0.75,abz_20x15
abz7,abz,20x15,20,15,4,6,11,9,0.55,0.050000000000000044,4->6,0.55,abz_20x15
abz7,abz,20x15,20,15,4,7,7,13,0.35,0.15000000000000002,7->4,0.65,abz_20x15
abz7,abz,20x15,20,15,4,8,5,15,0.25,0.25,8->4,0.75,abz_20x15
abz7,abz,20x15,20,15,4,9,10,10,0.5,0.0,4->9,0.5,abz_20x15
abz7,abz,20x15,20,15,4,10,13,7,0.65,0.15000000000000002,4->10,0.65,abz_20x15
abz7,abz,20x15,20,15,4,11,7,13,0.35,0.15000000000000002,11->4,0.65,abz_20x15
abz7,abz,20x15,20,15,4,12,6,14,0.3,0.2,12->4,0.7,abz_20x15
abz7,abz,20x15,20,15,4,13,9,11,0.45,0.04999999999999999,13->4,0.55,abz_20x15
abz7,abz,20x15,20,15,4,14,8,12,0.4,0.09999999999999998,14->4,0.6,abz_20x15
abz7,abz,20x15,20,15,5,6,13,7,0.65,0.15000000000000002,5->6,0.65,abz_20x15
abz7,abz,20x15,20,15,5,7,14,6,0.7,0.19999999999999996,5->7,0.7,abz_20x15
abz7,abz,20x15,20,15,5,8,14,6,0.7,0.19999999999999996,5->8,0.7,abz_20x15
abz7,abz,20x15,20,15,5,9,13,7,0.65,0.15000000000000002,5->9,0.65,abz_20x15
abz7,abz,20x15,20,15,5,10,16,4,0.8,0.30000000000000004,5->10,0.8,abz_20x15
abz7,abz,20x15,20,15,5,11,14,6,0.7,0.19999999999999996,5->11,0.7,abz_20x15
abz7,abz,20x15,20,15,5,12,10,10,0.5,0.0,5->12,0.5,abz_20x15
abz7,abz,20x15,20,15,5,13,15,5,0.75,0.25,5->13,0.75,abz_20x15
abz7,abz,20x15,20,15,5,14,15,5,0.75,0.25,5->14,0.75,abz_20x15
abz7,abz,20x15,20,15,6,7,11,9,0.55,0.050000000000000044,6->7,0.55,abz_20x15
abz7,abz,20x15,20,15,6,8,8,12,0.4,0.09999999999999998,8->6,0.6,abz_20x15
abz7,abz,20x15,20,15,6,9,9,11,0.45,0.04999999999999999,9->6,0.55,abz_20x15
abz7,abz,20x15,20,15,6,10,13,7,0.65,0.15000000000000002,6->10,0.65,abz_20x15
abz7,abz,20x15,20,15,6,11,9,11,0.45,0.04999999999999999,11->6,0.55,abz_20x15
abz7,abz,20x15,20,15,6,12,10,10,0.5,0.0,6->12,0.5,abz_20x15
abz7,abz,20x15,20,15,6,13,8,12,0.4,0.09999999999999998,13->6,0.6,abz_20x15
abz7,abz,20x15,20,15,6,14,9,11,0.45,0.04999999999999999,14->6,0.55,abz_20x15
abz7,abz,20x15,20,15,7,8,9,11,0.45,0.04999999999999999,8->7,0.55,abz_20x15
abz7,abz,20x15,20,15,7,9,11,9,0.55,0.050000000000000044,7->9,0.55,abz_20x15
abz7,abz,20x15,20,15,7,10,11,9,0.55,0.050000000000000044,7->10,0.55,abz_20x15
abz7,abz,20x15,20,15,7,11,10,10,0.5,0.0,7->11,0.5,abz_20x15
abz7,abz,20x15,20,15,7,12,9,11,0.45,0.04999999999999999,12->7,0.55,abz_20x15
abz7,abz,20x15,20,15,7,13,10,10,0.5,0.0,7->13,0.5,abz_20x15
abz7,abz,20x15,20,15,7,14,10,10,0.5,0.0,7->14,0.5,abz_20x15
abz7,abz,20x15,20,15,8,9,12,8,0.6,0.09999999999999998,8->9,0.6,abz_20x15
abz7,abz,20x15,20,15,8,10,13,7,0.65,0.15000000000000002,8->10,0.65,abz_20x15
abz7,abz,20x15,20,15,8,11,11,9,0.55,0.050000000000000044,8->11,0.55,abz_20x15
abz7,abz,20x15,20,15,8,12,10,10,0.5,0.0,8->12,0.5,abz_20x15
abz7,abz,20x15,20,15,8,13,12,8,0.6,0.09999999999999998,8->13,0.6,abz_20x15
abz7,abz,20x15,20,15,8,14,15,5,0.75,0.25,8->14,0.75,abz_20x15
abz7,abz,20x15,20,15,9,10,11,9,0.55,0.050000000000000044,9->10,0.55,abz_20x15
abz7,abz,20x15,20,15,9,11,9,11,0.45,0.04999999999999999,11->9,0.55,abz_20x15
abz7,abz,20x15,20,15,9,12,11,9,0.55,0.050000000000000044,9->12,0.55,abz_20x15
abz7,abz,20x15,20,15,9,13,10,10,0.5,0.0,9->13,0.5,abz_20x15
abz7,abz,20x15,20,15,9,14,11,9,0.55,0.050000000000000044,9->14,0.55,abz_20x15
abz7,abz,20x15,20,15,10,11,8,12,0.4,0.09999999999999998,11->10,0.6,abz_20x15
abz7,abz,20x15,20,15,10,12,9,11,0.45,0.04999999999999999,12->10,0.55,abz_20x15
abz7,abz,20x15,20,15,10,13,8,12,0.4,0.09999999999999998,13->10,0.6,abz_20x15
abz7,abz,20x15,20,15,10,14,9,11,0.45,0.04999999999999999,14->10,0.55,abz_20x15
abz7,abz,20x15,20,15,11,12,7,13,0.35,0.15000000000000002,12->11,0.65,abz_20x15
abz7,abz,20x15,20,15,11,13,11,9,0.55,0.050000000000000044,11->13,0.55,abz_20x15
abz7,abz,20x15,20,15,11,14,12,8,0.6,0.09999999999999998,11->14,0.6,abz_20x15
abz7,abz,20x15,20,15,12,13,10,10,0.5,0.0,12->13,0.5,abz_20x15
abz7,abz,20x15,20,15,12,14,10,10,0.5,0.0,12->14,0.5,abz_20x15
abz7,abz,20x15,20,15,13,14,8,12,0.4,0.09999999999999998,14->13,0.6,abz_20x15
abz8,abz,20x15,20,15,0,1,10,10,0.5,0.0,0->1,0.5,abz_20x15
abz8,abz,20x15,20,15,0,2,13,7,0.65,0.15000000000000002,0->2,0.65,abz_20x15
abz8,abz,20x15,20,15,0,3,7,13,0.35,0.15000000000000002,3->0,0.65,abz_20x15
abz8,abz,20x15,20,15,0,4,9,11,0.45,0.04999999999999999,4->0,0.55,abz_20x15
abz8,abz,20x15,20,15,0,5,9,11,0.45,0.04999999999999999,5->0,0.55,abz_20x15
abz8,abz,20x15,20,15,0,6,7,13,0.35,0.15000000000000002,6->0,0.65,abz_20x15
abz8,abz,20x15,20,15,0,7,12,8,0.6,0.09999999999999998,0->7,0.6,abz_20x15
abz8,abz,20x15,20,15,0,8,7,13,0.35,0.15000000000000002,8->0,0.65,abz_20x15
abz8,abz,20x15,20,15,0,9,8,12,0.4,0.09999999999999998,9->0,0.6,abz_20x15
abz8,abz,20x15,20,15,0,10,11,9,0.55,0.050000000000000044,0->10,0.55,abz_20x15
abz8,abz,20x15,20,15,0,11,11,9,0.55,0.050000000000000044,0->11,0.55,abz_20x15
abz8,abz,20x15,20,15,0,12,11,9,0.55,0.050000000000000044,0->12,0.55,abz_20x15
abz8,abz,20x15,20,15,0,13,11,9,0.55,0.050000000000000044,0->13,0.55,abz_20x15
abz8,abz,20x15,20,15,0,14,7,13,0.35,0.15000000000000002,14->0,0.65,abz_20x15
abz8,abz,20x15,20,15,1,2,9,11,0.45,0.04999999999999999,2->1,0.55,abz_20x15
abz8,abz,20x15,20,15,1,3,7,13,0.35,0.15000000000000002,3->1,0.65,abz_20x15
abz8,abz,20x15,20,15,1,4,9,11,0.45,0.04999999999999999,4->1,0.55,abz_20x15
abz8,abz,20x15,20,15,1,5,7,13,0.35,0.15000000000000002,5->1,0.65,abz_20x15
abz8,abz,20x15,20,15,1,6,7,13,0.35,0.15000000000000002,6->1,0.65,abz_20x15
abz8,abz,20x15,20,15,1,7,11,9,0.55,0.050000000000000044,1->7,0.55,abz_20x15
abz8,abz,20x15,20,15,1,8,7,13,0.35,0.15000000000000002,8->1,0.65,abz_20x15
abz8,abz,20x15,20,15,1,9,8,12,0.4,0.09999999999999998,9->1,0.6,abz_20x15
abz8,abz,20x15,20,15,1,10,9,11,0.45,0.04999999999999999,10->1,0.55,abz_20x15
abz8,abz,20x15,20,15,1,11,7,13,0.35,0.15000000000000002,11->1,0.65,abz_20x15
abz8,abz,20x15,20,15,1,12,6,14,0.3,0.2,12->1,0.7,abz_20x15
abz8,abz,20x15,20,15,1,13,6,14,0.3,0.2,13->1,0.7,abz_20x15
abz8,abz,20x15,20,15,1,14,5,15,0.25,0.25,14->1,0.75,abz_20x15
abz8,abz,20x15,20,15,2,3,9,11,0.45,0.04999999999999999,3->2,0.55,abz_20x15
abz8,abz,20x15,20,15,2,4,10,10,0.5,0.0,2->4,0.5,abz_20x15
abz8,abz,20x15,20,15,2,5,8,12,0.4,0.09999999999999998,5->2,0.6,abz_20x15
abz8,abz,20x15,20,15,2,6,9,11,0.45,0.04999999999999999,6->2,0.55,abz_20x15
abz8,abz,20x15,20,15,2,7,11,9,0.55,0.050000000000000044,2->7,0.55,abz_20x15
abz8,abz,20x15,20,15,2,8,5,15,0.25,0.25,8->2,0.75,abz_20x15
abz8,abz,20x15,20,15,2,9,7,13,0.35,0.15000000000000002,9->2,0.65,abz_20x15
abz8,abz,20x15,20,15,2,10,8,12,0.4,0.09999999999999998,10->2,0.6,abz_20x15
abz8,abz,20x15,20,15,2,11,10,10,0.5,0.0,2->11,0.5,abz_20x15
abz8,abz,20x15,20,15,2,12,11,9,0.55,0.050000000000000044,2->12,0.55,abz_20x15
abz8,abz,20x15,20,15,2,13,10,10,0.5,0.0,2->13,0.5,abz_20x15
abz8,abz,20x15,20,15,2,14,9,11,0.45,0.04999999999999999,14->2,0.55,abz_20x15
abz8,abz,20x15,20,15,3,4,13,7,0.65,0.15000000000000002,3->4,0.65,abz_20x15
abz8,abz,20x15,20,15,3,5,12,8,0.6,0.09999999999999998,3->5,0.6,abz_20x15
abz8,abz,20x15,20,15,3,6,9,11,0.45,0.04999999999999999,6->3,0.55,abz_20x15
abz8,abz,20x15,20,15,3,7,13,7,0.65,0.15000000000000002,3->7,0.65,abz_20x15
abz8,abz,20x15,20,15,3,8,8,12,0.4,0.09999999999999998,8->3,0.6,abz_20x15
abz8,abz,20x15,20,15,3,9,10,10,0.5,0.0,3->9,0.5,abz_20x15
abz8,abz,20x15,20,15,3,10,13,7,0.65,0.15000000000000002,3->10,0.65,abz_20x15
abz8,abz,20x15,20,15,3,11,10,10,0.5,0.0,3->11,0.5,abz_20x15
abz8,abz,20x15,20,15,3,12,11,9,0.55,0.050000000000000044,3->12,0.55,abz_20x15
abz8,abz,20x15,20,15,3,13,13,7,0.65,0.15000000000000002,3->13,0.65,abz_20x15
abz8,abz,20x15,20,15,3,14,8,12,0.4,0.09999999999999998,14->3,0.6,abz_20x15
abz8,abz,20x15,20,15,4,5,7,13,0.35,0.15000000000000002,5->4,0.65,abz_20x15
abz8,abz,20x15,20,15,4,6,7,13,0.35,0.15000000000000002,6->4,0.65,abz_20x15
abz8,abz,20x15,20,15,4,7,11,9,0.55,0.050000000000000044,4->7,0.55,abz_20x15
abz8,abz,20x15,20,15,4,8,4,16,0.2,0.3,8->4,0.8,abz_20x15
abz8,abz,20x15,20,15,4,9,6,14,0.3,0.2,9->4,0.7,abz_20x15
abz8,abz,20x15,20,15,4,10,8,12,0.4,0.09999999999999998,10->4,0.6,abz_20x15
abz8,abz,20x15,20,15,4,11,11,9,0.55,0.050000000000000044,4->11,0.55,abz_20x15
abz8,abz,20x15,20,15,4,12,6,14,0.3,0.2,12->4,0.7,abz_20x15
abz8,abz,20x15,20,15,4,13,11,9,0.55,0.050000000000000044,4->13,0.55,abz_20x15
abz8,abz,20x15,20,15,4,14,6,14,0.3,0.2,14->4,0.7,abz_20x15
abz8,abz,20x15,20,15,5,6,9,11,0.45,0.04999999999999999,6->5,0.55,abz_20x15
abz8,abz,20x15,20,15,5,7,14,6,0.7,0.19999999999999996,5->7,0.7,abz_20x15
abz8,abz,20x15,20,15,5,8,8,12,0.4,0.09999999999999998,8->5,0.6,abz_20x15
abz8,abz,20x15,20,15,5,9,8,12,0.4,0.09999999999999998,9->5,0.6,abz_20x15
abz8,abz,20x15,20,15,5,10,8,12,0.4,0.09999999999999998,10->5,0.6,abz_20x15
abz8,abz,20x15,20,15,5,11,11,9,0.55,0.050000000000000044,5->11,0.55,abz_20x15
abz8,abz,20x15,20,15,5,12,9,11,0.45,0.04999999999999999,12->5,0.55,abz_20x15
abz8,abz,20x15,20,15,5,13,10,10,0.5,0.0,5->13,0.5,abz_20x15
abz8,abz,20x15,20,15,5,14,7,13,0.35,0.15000000000000002,14->5,0.65,abz_20x15
abz8,abz,20x15,20,15,6,7,13,7,0.65,0.15000000000000002,6->7,0.65,abz_20x15
abz8,abz,20x15,20,15,6,8,8,12,0.4,0.09999999999999998,8->6,0.6,abz_20x15
abz8,abz,20x15,20,15,6,9,10,10,0.5,0.0,6->9,0.5,abz_20x15
abz8,abz,20x15,20,15,6,10,12,8,0.6,0.09999999999999998,6->10,0.6,abz_20x15
abz8,abz,20x15,20,15,6,11,12,8,0.6,0.09999999999999998,6->11,0.6,abz_20x15
abz8,abz,20x15,20,15,6,12,13,7,0.65,0.15000000000000002,6->12,0.65,abz_20x15
abz8,abz,20x15,20,15,6,13,11,9,0.55,0.050000000000000044,6->13,0.55,abz_20x15
abz8,abz,20x15,20,15,6,14,7,13,0.35,0.15000000000000002,14->6,0.65,abz_20x15
abz8,abz,20x15,20,15,7,8,7,13,0.35,0.15000000000000002,8->7,0.65,abz_20x15
abz8,abz,20x15,20,15,7,9,6,14,0.3,0.2,9->7,0.7,abz_20x15
abz8,abz,20x15,20,15,7,10,5,15,0.25,0.25,10->7,0.75,abz_20x15
abz8,abz,20x15,20,15,7,11,8,12,0.4,0.09999999999999998,11->7,0.6,abz_20x15
abz8,abz,20x15,20,15,7,12,6,14,0.3,0.2,12->7,0.7,abz_20x15
abz8,abz,20x15,20,15,7,13,9,11,0.45,0.04999999999999999,13->7,0.55,abz_20x15
abz8,abz,20x15,20,15,7,14,5,15,0.25,0.25,14->7,0.75,abz_20x15
abz8,abz,20x15,20,15,8,9,15,5,0.75,0.25,8->9,0.75,abz_20x15
