family,from_machine,to_machine,count,adjacent_arcs_total,total_jobs,frequency_over_all_adjacent_arcs,frequency_per_job
abz,11,7,4,1020,80,0.00392156862745098,0.05
abz,11,8,4,1020,80,0.00392156862745098,0.05
abz,11,9,2,1020,80,0.00196078431372549,0.025
abz,11,10,3,1020,80,0.0029411764705882353,0.0375
abz,11,12,2,1020,80,0.00196078431372549,0.025
abz,11,13,10,1020,80,0.00980392156862745,0.125
abz,11,14,6,1020,80,0.0058823529411764705,0.075
abz,12,0,3,1020,80,0.0029411764705882353,0.0375
abz,12,1,8,1020,80,0.00784313725490196,0.1
abz,12,2,1,1020,80,0.000980392156862745,0.0125
abz,12,3,1,1020,80,0.000980392156862745,0.0125
abz,12,4,9,1020,80,0.008823529411764706,0.1125
abz,12,5,5,1020,80,0.004901960784313725,0.0625
abz,12,6,3,1020,80,0.0029411764705882353,0.0375
abz,12,7,3,1020,80,0.0029411764705882353,0.0375
abz,12,8,2,1020,80,0.00196078431372549,0.025
abz,12,9,3,1020,80,0.0029411764705882353,0.0375
abz,12,10,8,1020,80,0.00784313725490196,0.1
abz,12,11,6,1020,80,0.0058823529411764705,0.075
abz,12,13,1,1020,80,0.000980392156862745,0.0125
abz,12,14,2,1020,80,0.00196078431372549,0.025
abz,13,0,7,1020,80,0.006862745098039216,0.0875
abz,13,1,6,1020,80,0.0058823529411764705,0.075
abz,13,2,4,1020,80,0.00392156862745098,0.05
abz,13,3,2,1020,80,0.00196078431372549,0.025
abz,13,4,3,1020,80,0.0029411764705882353,0.0375
abz,13,5,1,1020,80,0.000980392156862745,0.0125
abz,13,6,2,1020,80,0.00196078431372549,0.025
abz,13,7,6,1020,80,0.0058823529411764705,0.075
abz,13,8,5,1020,80,0.004901960784313725,0.0625
abz,13,9,4,1020,80,0.00392156862745098,0.05
abz,13,10,8,1020,80,0.00784313725490196,0.1
abz,13,11,5,1020,80,0.004901960784313725,0.0625
abz,13,12,2,1020,80,0.00196078431372549,0.025
abz,13,14,2,1020,80,0.00196078431372549,0.025
abz,14,0,2,1020,80,0.00196078431372549,0.025
abz,14,1,5,1020,80,0.004901960784313725,0.0625
abz,14,2,3,1020,80,0.0029411764705882353,0.0375
abz,14,3,7,1020,80,0.006862745098039216,0.0875
abz,14,4,2,1020,80,0.00196078431372549,0.025
abz,14,5,6,1020,80,0.0058823529411764705,0.075
abz,14,6,5,1020,80,0.004901960784313725,0.0625
abz,14,7,4,1020,80,0.00392156862745098,0.05
abz,14,8,3,1020,80,0.0029411764705882353,0.0375
abz,14,9,6,1020,80,0.0058823529411764705,0.075
abz,14,10,2,1020,80,0.00196078431372549,0.025
abz,14,11,4,1020,80,0.00392156862745098,0.05
abz,14,12,2,1020,80,0.00196078431372549,0.025
abz,14,13,7,1020,80,0.006862745098039216,0.0875
ft,0,1,13,200,36,0.065,0.3611111111111111
ft,0,2,7,200,36,0.035,0.19444444444444445
ft,0,3,11,200,36,0.055,0.3055555555555556
ft,0,4,4,200,36,0.02,0.1111111111111111
ft,0,5,0,200,36,0.0,0.0
ft,0,6,1,200,36,0.005,0.027777777777777776
ft,0,7,0,200,36,0.0,0.0
ft,0,8,0,200,36,0.0,0.0
ft,0,9,0,200,36,0.0,0.0
ft,1,0,10,200,36,0.05,0.2777777777777778
ft,1,2,7,200,36,0.035,0.19444444444444445
ft,1,3,9,200,36,0.045,0.25
ft,1,4,6,200,36,0.03,0.16666666666666666
ft,1,5,3,200,36,0.015,0.08333333333333333
ft,1,6,1,200,36,0.005,0.027777777777777776
ft,1,7,0,200,36,0.0,0.0
ft,1,8,0,200,36,0.0,0.0
ft,1,9,0,200,36,0.0,0.0
ft,2,0,8,200,36,0.04,0.2222222222222222
ft,2,1,8,200,36,0.04,0.2222222222222222
ft,2,3,9,200,36,0.045,0.25
ft,2,4,4,200,36,0.02,0.1111111111111111
ft,2,5,0,200,36,0.0,0.0
ft,2,6,2,200,36,0.01,0.05555555555555555
ft,2,7,0,200,36,0.0,0.0
ft,2,8,1,200,36,0.005,0.027777777777777776
ft,2,9,1,200,36,0.005,0.027777777777777776
ft,3,0,1,200,36,0.005,0.027777777777777776
ft,3,1,1,200,36,0.005,0.027777777777777776
ft,3,2,4,200,36,0.02,0.1111111111111111
ft,3,4,16,200,36,0.08,0.4444444444444444
ft,3,5,4,200,36,0.02,0.1111111111111111
ft,3,6,0,200,36,0.0,0.0
ft,3,7,0,200,36,0.0,0.0
ft,3,8,1,200,36,0.005,0.027777777777777776
ft,3,9,1,200,36,0.005,0.027777777777777776
ft,4,0,1,200,36,0.005,0.027777777777777776
ft,4,1,0,200,36,0.0,0.0
ft,4,2,6,200,36,0.03,0.16666666666666666
ft,4,3,1,200,36,0.005,0.027777777777777776
ft,4,5,4,200,36,0.02,0.1111111111111111
ft,4,6,2,200,36,0.01,0.05555555555555555
ft,4,7,2,200,36,0.01,0.05555555555555555
ft,4,8,2,200,36,0.01,0.05555555555555555
ft,4,9,1,200,36,0.005,0.027777777777777776
ft,5,0,4,200,36,0.02,0.1111111111111111
ft,5,1,0,200,36,0.0,0.0
ft,5,2,1,200,36,0.005,0.027777777777777776
ft,5,3,3,200,36,0.015,0.08333333333333333
ft,5,4,2,200,36,0.01,0.05555555555555555
ft,5,6,1,200,36,0.005,0.027777777777777776
ft,5,7,2,200,36,0.01,0.05555555555555555
ft,5,8,0,200,36,0.0,0.0
ft,5,9,1,200,36,0.005,0.027777777777777776
ft,6,0,0,200,36,0.0,0.0
ft,6,1,0,200,36,0.0,0.0
ft,6,2,0,200,36,0.0,0.0
ft,6,3,0,200,36,0.0,0.0
ft,6,4,1,200,36,0.005,0.027777777777777776
ft,6,5,2,200,36,0.01,0.05555555555555555
ft,6,7,2,200,36,0.01,0.05555555555555555
ft,6,8,3,200,36,0.015,0.08333333333333333
ft,6,9,1,200,36,0.005,0.027777777777777776
ft,7,0,0,200,36,0.0,0.0
ft,7,1,0,200,36,0.0,0.0
ft,7,2,0,200,36,0.0,0.0
ft,7,3,2,200,36,0.01,0.05555555555555555
ft,7,4,2,200,36,0.01,0.05555555555555555
ft,7,5,0,200,36,0.0,0.0
ft,7,6,1,200,36,0.005,0.027777777777777776
ft,7,8,2,200,36,0.01,0.05555555555555555
ft,7,9,1,200,36,0.005,0.027777777777777776
ft,8,0,0,200,36,0.0,0.0
ft,8,1,0,200,36,0.0,0.0
ft,8,2,0,200,36,0.0,0.0
ft,8,3,0,200,36,0.0,0.0
ft,8,4,0,200,36,0.0,0.0
ft,8,5,1,200,36,0.005,0.027777777777777776
ft,8,6,0,200,36,0.0,0.0
ft,8,7,3,200,36,0.015,0.08333333333333333
ft,8,9,4,200,36,0.02,0.1111111111111111
ft,9,0,1,200,36,0.005,0.027777777777777776
ft,9,1,0,200,36,0.0,0.0
ft,9,2,0,200,36,0.0,0.0
ft,9,3,1,200,36,0.005,0.027777777777777776
ft,9,4,1,200,36,0.005,0.027777777777777776
ft,9,5,2,200,36,0.01,0.05555555555555555
ft,9,6,2,200,36,0.01,0.05555555555555555
ft,9,7,1,200,36,0.005,0.027777777777777776
ft,9,8,1,200,36,0.005,0.027777777777777776
la,0,1,84,5325,675,0.015774647887323943,0.12444444444444444
la,0,2,91,5325,675,0.017089201877934272,0.1348148148148148
la,0,3,91,5325,675,0.017089201877934272,0.1348148148148148
la,0,4,81,5325,675,0.015211267605633802,0.12
la,0,5,51,5325,675,0.009577464788732394,0.07555555555555556
la,0,6,39,5325,675,0.007323943661971831,0.057777777777777775
la,0,7,42,5325,675,0.007887323943661971,0.06222222222222222
la,0,8,44,5325,675,0.008262910798122065,0.06518518518518518
la,0,9,38,5325,675,0.007136150234741784,0.056296296296296296
la,0,10,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,0,11,4,5325,675,0.0007511737089201878,0.005925925925925926
la,0,12,2,5325,675,0.0003755868544600939,0.002962962962962963
la,0,13,4,5325,675,0.0007511737089201878,0.005925925925925926
la,0,14,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,1,0,96,5325,675,0.018028169014084508,0.14222222222222222
la,1,2,83,5325,675,0.015586854460093896,0.12296296296296297
la,1,3,81,5325,675,0.015211267605633802,0.12
la,1,4,80,5325,675,0.015023474178403756,0.11851851851851852
la,1,5,34,5325,675,0.006384976525821596,0.05037037037037037
la,1,6,40,5325,675,0.007511737089201878,0.05925925925925926
la,1,7,50,5325,675,0.009389671361502348,0.07407407407407407
la,1,8,54,5325,675,0.010140845070422535,0.08
la,1,9,38,5325,675,0.007136150234741784,0.056296296296296296
la,1,10,5,5325,675,0.0009389671361502347,0.007407407407407408
la,1,11,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,1,12,5,5325,675,0.0009389671361502347,0.007407407407407408
la,1,13,4,5325,675,0.0007511737089201878,0.005925925925925926
la,1,14,5,5325,675,0.0009389671361502347,0.007407407407407408
la,2,0,85,5325,675,0.01596244131455399,0.1259259259259259
la,2,1,74,5325,675,0.013896713615023475,0.10962962962962963
la,2,3,91,5325,675,0.017089201877934272,0.1348148148148148
la,2,4,87,5325,675,0.016338028169014085,0.1288888888888889
la,2,5,39,5325,675,0.007323943661971831,0.057777777777777775
la,2,6,45,5325,675,0.008450704225352112,0.06666666666666667
la,2,7,47,5325,675,0.008826291079812207,0.06962962962962962
la,2,8,52,5325,675,0.009765258215962441,0.07703703703703704
la,2,9,45,5325,675,0.008450704225352112,0.06666666666666667
la,2,10,2,5325,675,0.0003755868544600939,0.002962962962962963
la,2,11,2,5325,675,0.0003755868544600939,0.002962962962962963
la,2,12,4,5325,675,0.0007511737089201878,0.005925925925925926
la,2,13,10,5325,675,0.0018779342723004694,0.014814814814814815
la,2,14,9,5325,675,0.0016901408450704226,0.013333333333333334
la,3,0,65,5325,675,0.012206572769953052,0.0962962962962963
la,3,1,95,5325,675,0.01784037558685446,0.14074074074074075
la,3,2,106,5325,675,0.019906103286384976,0.15703703703703703
la,3,4,84,5325,675,0.015774647887323943,0.12444444444444444
la,3,5,48,5325,675,0.009014084507042254,0.07111111111111111
la,3,6,47,5325,675,0.008826291079812207,0.06962962962962962
la,3,7,49,5325,675,0.0092018779342723,0.0725925925925926
la,3,8,30,5325,675,0.005633802816901409,0.044444444444444446
la,3,9,41,5325,675,0.007699530516431925,0.06074074074074074
la,3,10,8,5325,675,0.0015023474178403756,0.011851851851851851
la,3,11,1,5325,675,0.00018779342723004695,0.0014814814814814814
la,3,12,5,5325,675,0.0009389671361502347,0.007407407407407408
la,3,13,7,5325,675,0.0013145539906103286,0.01037037037037037
la,3,14,5,5325,675,0.0009389671361502347,0.007407407407407408
la,4,0,89,5325,675,0.01671361502347418,0.13185185185185186
la,4,1,56,5325,675,0.010516431924882629,0.08296296296296296
la,4,2,81,5325,675,0.015211267605633802,0.12
la,4,3,105,5325,675,0.01971830985915493,0.15555555555555556
la,4,5,41,5325,675,0.007699530516431925,0.06074074074074074
la,4,6,63,5325,675,0.011830985915492958,0.09333333333333334
la,4,7,53,5325,675,0.009953051643192488,0.07851851851851852
la,4,8,32,5325,675,0.006009389671361502,0.047407407407407405
la,4,9,32,5325,675,0.006009389671361502,0.047407407407407405
la,4,10,4,5325,675,0.0007511737089201878,0.005925925925925926
la,4,11,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,4,12,10,5325,675,0.0018779342723004694,0.014814814814814815
la,4,13,8,5325,675,0.0015023474178403756,0.011851851851851851
la,4,14,6,5325,675,0.0011267605633802818,0.008888888888888889
la,5,0,38,5325,675,0.007136150234741784,0.056296296296296296
la,5,1,40,5325,675,0.007511737089201878,0.05925925925925926
la,5,2,42,5325,675,0.007887323943661971,0.06222222222222222
la,5,3,56,5325,675,0.010516431924882629,0.08296296296296296
la,5,4,51,5325,675,0.009577464788732394,0.07555555555555556
la,5,6,43,5325,675,0.008075117370892018,0.0637037037037037
la,5,7,22,5325,675,0.0041314553990610325,0.03259259259259259
la,5,8,31,5325,675,0.0058215962441314556,0.045925925925925926
la,5,9,58,5325,675,0.010892018779342722,0.08592592592592592
la,5,10,4,5325,675,0.0007511737089201878,0.005925925925925926
la,5,11,11,5325,675,0.0020657276995305163,0.016296296296296295
la,5,12,5,5325,675,0.0009389671361502347,0.007407407407407408
la,5,13,2,5325,675,0.0003755868544600939,0.002962962962962963
la,5,14,4,5325,675,0.0007511737089201878,0.005925925925925926
la,6,0,40,5325,675,0.007511737089201878,0.05925925925925926
la,6,1,47,5325,675,0.008826291079812207,0.06962962962962962
la,6,2,33,5325,675,0.006197183098591549,0.04888888888888889
la,6,3,47,5325,675,0.008826291079812207,0.06962962962962962
la,6,4,44,5325,675,0.008262910798122065,0.06518518518518518
la,6,5,48,5325,675,0.009014084507042254,0.07111111111111111
la,6,7,50,5325,675,0.009389671361502348,0.07407407407407407
la,6,8,28,5325,675,0.005258215962441314,0.04148148148148148
la,6,9,50,5325,675,0.009389671361502348,0.07407407407407407
la,6,10,5,5325,675,0.0009389671361502347,0.007407407407407408
la,6,11,6,5325,675,0.0011267605633802818,0.008888888888888889
la,6,12,4,5325,675,0.0007511737089201878,0.005925925925925926
la,6,13,1,5325,675,0.00018779342723004695,0.0014814814814814814
la,6,14,7,5325,675,0.0013145539906103286,0.01037037037037037
la,7,0,48,5325,675,0.009014084507042254,0.07111111111111111
la,7,1,40,5325,675,0.007511737089201878,0.05925925925925926
la,7,2,39,5325,675,0.007323943661971831,0.057777777777777775
la,7,3,29,5325,675,0.005446009389671361,0.04296296296296296
la,7,4,38,5325,675,0.007136150234741784,0.056296296296296296
la,7,5,38,5325,675,0.007136150234741784,0.056296296296296296
la,7,6,35,5325,675,0.006572769953051643,0.05185185185185185
la,7,8,69,5325,675,0.012957746478873239,0.10222222222222223
la,7,9,37,5325,675,0.006948356807511737,0.054814814814814816
la,7,10,5,5325,675,0.0009389671361502347,0.007407407407407408
la,7,11,4,5325,675,0.0007511737089201878,0.005925925925925926
la,7,12,4,5325,675,0.0007511737089201878,0.005925925925925926
la,7,13,7,5325,675,0.0013145539906103286,0.01037037037037037
la,7,14,6,5325,675,0.0011267605633802818,0.008888888888888889
la,8,0,45,5325,675,0.008450704225352112,0.06666666666666667
la,8,1,46,5325,675,0.00863849765258216,0.06814814814814815
la,8,2,44,5325,675,0.008262910798122065,0.06518518518518518
la,8,3,34,5325,675,0.006384976525821596,0.05037037037037037
la,8,4,39,5325,675,0.007323943661971831,0.057777777777777775
la,8,5,49,5325,675,0.0092018779342723,0.0725925925925926
la,8,6,50,5325,675,0.009389671361502348,0.07407407407407407
la,8,7,44,5325,675,0.008262910798122065,0.06518518518518518
la,8,9,47,5325,675,0.008826291079812207,0.06962962962962962
la,8,10,2,5325,675,0.0003755868544600939,0.002962962962962963
la,8,11,8,5325,675,0.0015023474178403756,0.011851851851851851
la,8,12,1,5325,675,0.00018779342723004695,0.0014814814814814814
la,8,13,4,5325,675,0.0007511737089201878,0.005925925925925926
la,8,14,4,5325,675,0.0007511737089201878,0.005925925925925926
la,9,0,53,5325,675,0.009953051643192488,0.07851851851851852
la,9,1,58,5325,675,0.010892018779342722,0.08592592592592592
la,9,2,34,5325,675,0.006384976525821596,0.05037037037037037
la,9,3,34,5325,675,0.006384976525821596,0.05037037037037037
la,9,4,44,5325,675,0.008262910798122065,0.06518518518518518
la,9,5,47,5325,675,0.008826291079812207,0.06962962962962962
la,9,6,32,5325,675,0.006009389671361502,0.047407407407407405
la,9,7,38,5325,675,0.007136150234741784,0.056296296296296296
la,9,8,52,5325,675,0.009765258215962441,0.07703703703703704
la,9,10,7,5325,675,0.0013145539906103286,0.01037037037037037
la,9,11,5,5325,675,0.0009389671361502347,0.007407407407407408
la,9,12,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,9,13,1,5325,675,0.00018779342723004695,0.0014814814814814814
la,9,14,7,5325,675,0.0013145539906103286,0.01037037037037037
la,10,0,6,5325,675,0.0011267605633802818,0.008888888888888889
la,10,1,5,5325,675,0.0009389671361502347,0.007407407407407408
la,10,2,6,5325,675,0.0011267605633802818,0.008888888888888889
la,10,3,4,5325,675,0.0007511737089201878,0.005925925925925926
la,10,4,5,5325,675,0.0009389671361502347,0.007407407407407408
la,10,5,6,5325,675,0.0011267605633802818,0.008888888888888889
la,10,6,4,5325,675,0.0007511737089201878,0.005925925925925926
la,10,7,4,5325,675,0.0007511737089201878,0.005925925925925926
la,10,8,2,5325,675,0.0003755868544600939,0.002962962962962963
la,10,9,6,5325,675,0.0011267605633802818,0.008888888888888889
la,10,11,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,10,12,13,5325,675,0.0024413145539906103,0.01925925925925926
la,10,13,7,5325,675,0.0013145539906103286,0.01037037037037037
la,10,14,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,11,0,4,5325,675,0.0007511737089201878,0.005925925925925926
la,11,1,4,5325,675,0.0007511737089201878,0.005925925925925926
la,11,2,5,5325,675,0.0009389671361502347,0.007407407407407408
la,11,3,4,5325,675,0.0007511737089201878,0.005925925925925926
la,11,4,6,5325,675,0.0011267605633802818,0.008888888888888889
la,11,5,6,5325,675,0.0011267605633802818,0.008888888888888889
la,11,6,7,5325,675,0.0013145539906103286,0.01037037037037037
la,11,7,6,5325,675,0.0011267605633802818,0.008888888888888889
la,11,8,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,11,9,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,11,10,5,5325,675,0.0009389671361502347,0.007407407407407408
la,11,12,5,5325,675,0.0009389671361502347,0.007407407407407408
la,11,13,5,5325,675,0.0009389671361502347,0.007407407407407408
la,11,14,6,5325,675,0.0011267605633802818,0.008888888888888889
la,12,0,12,5325,675,0.0022535211267605635,0.017777777777777778
la,12,1,7,5325,675,0.0013145539906103286,0.01037037037037037
la,12,2,6,5325,675,0.0011267605633802818,0.008888888888888889
la,12,3,1,5325,675,0.00018779342723004695,0.0014814814814814814
la,12,4,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,12,5,2,5325,675,0.0003755868544600939,0.002962962962962963
la,12,6,5,5325,675,0.0009389671361502347,0.007407407407407408
la,12,7,1,5325,675,0.00018779342723004695,0.0014814814814814814
la,12,8,8,5325,675,0.0015023474178403756,0.011851851851851851
la,12,9,5,5325,675,0.0009389671361502347,0.007407407407407408
la,12,10,1,5325,675,0.00018779342723004695,0.0014814814814814814
la,12,11,10,5325,675,0.0018779342723004694,0.014814814814814815
la,12,13,7,5325,675,0.0013145539906103286,0.01037037037037037
la,12,14,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,13,0,3,5325,675,0.0005633802816901409,0.0044444444444444444
la,13,1,6,5325,675,0.0011267605633802818,0.008888888888888889
la,13,2,5,5325,675,0.0009389671361502347,0.007407407407407408
la,13,3,7,5325,675,0.0013145539906103286,0.01037037037037037
