family_size,family,size,position,machine,count,jobs,total_jobs,frequency
abz_20x15,abz,20x15,0,12,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,0,13,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,0,14,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,1,0,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,1,1,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,1,2,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,1,3,10,60,60,0.16666666666666666
abz_20x15,abz,20x15,1,4,3,60,60,0.05
abz_20x15,abz,20x15,1,5,8,60,60,0.13333333333333333
abz_20x15,abz,20x15,1,6,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,1,7,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,1,8,3,60,60,0.05
abz_20x15,abz,20x15,1,9,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,1,10,6,60,60,0.1
abz_20x15,abz,20x15,1,11,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,1,12,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,1,13,3,60,60,0.05
abz_20x15,abz,20x15,1,14,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,2,0,6,60,60,0.1
abz_20x15,abz,20x15,2,1,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,2,2,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,2,3,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,2,4,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,2,5,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,2,6,3,60,60,0.05
abz_20x15,abz,20x15,2,7,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,2,8,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,2,9,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,2,10,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,2,11,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,2,12,6,60,60,0.1
abz_20x15,abz,20x15,2,13,3,60,60,0.05
abz_20x15,abz,20x15,2,14,6,60,60,0.1
abz_20x15,abz,20x15,3,0,0,60,60,0.0
abz_20x15,abz,20x15,3,1,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,3,2,3,60,60,0.05
abz_20x15,abz,20x15,3,3,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,3,4,3,60,60,0.05
abz_20x15,abz,20x15,3,5,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,3,6,6,60,60,0.1
abz_20x15,abz,20x15,3,7,3,60,60,0.05
abz_20x15,abz,20x15,3,8,9,60,60,0.15
abz_20x15,abz,20x15,3,9,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,3,10,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,3,11,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,3,12,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,3,13,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,3,14,3,60,60,0.05
abz_20x15,abz,20x15,4,0,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,4,1,3,60,60,0.05
abz_20x15,abz,20x15,4,2,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,4,3,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,4,4,8,60,60,0.13333333333333333
abz_20x15,abz,20x15,4,5,8,60,60,0.13333333333333333
abz_20x15,abz,20x15,4,6,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,4,7,6,60,60,0.1
abz_20x15,abz,20x15,4,8,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,4,9,3,60,60,0.05
abz_20x15,abz,20x15,4,10,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,4,11,0,60,60,0.0
abz_20x15,abz,20x15,4,12,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,4,13,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,4,14,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,5,0,3,60,60,0.05
abz_20x15,abz,20x15,5,1,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,5,2,0,60,60,0.0
abz_20x15,abz,20x15,5,3,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,5,4,6,60,60,0.1
abz_20x15,abz,20x15,5,5,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,5,6,9,60,60,0.15
abz_20x15,abz,20x15,5,7,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,5,8,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,5,9,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,5,10,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,5,11,3,60,60,0.05
abz_20x15,abz,20x15,5,12,3,60,60,0.05
abz_20x15,abz,20x15,5,13,3,60,60,0.05
abz_20x15,abz,20x15,5,14,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,6,0,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,6,1,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,6,2,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,6,3,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,6,4,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,6,5,6,60,60,0.1
abz_20x15,abz,20x15,6,6,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,6,7,3,60,60,0.05
abz_20x15,abz,20x15,6,8,8,60,60,0.13333333333333333
abz_20x15,abz,20x15,6,9,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,6,10,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,6,11,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,6,12,3,60,60,0.05
abz_20x15,abz,20x15,6,13,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,6,14,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,7,0,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,7,1,0,60,60,0.0
abz_20x15,abz,20x15,7,2,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,7,3,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,7,4,8,60,60,0.13333333333333333
abz_20x15,abz,20x15,7,5,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,7,6,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,7,7,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,7,8,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,7,9,3,60,60,0.05
abz_20x15,abz,20x15,7,10,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,7,11,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,7,12,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,7,13,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,7,14,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,8,0,6,60,60,0.1
abz_20x15,abz,20x15,8,1,6,60,60,0.1
abz_20x15,abz,20x15,8,2,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,8,3,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,8,4,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,8,5,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,8,6,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,8,7,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,8,8,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,8,9,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,8,10,6,60,60,0.1
abz_20x15,abz,20x15,8,11,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,8,12,3,60,60,0.05
abz_20x15,abz,20x15,8,13,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,8,14,3,60,60,0.05
abz_20x15,abz,20x15,9,0,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,9,1,3,60,60,0.05
abz_20x15,abz,20x15,9,2,8,60,60,0.13333333333333333
abz_20x15,abz,20x15,9,3,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,9,4,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,9,5,3,60,60,0.05
abz_20x15,abz,20x15,9,6,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,9,7,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,9,8,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,9,9,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,9,10,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,9,11,6,60,60,0.1
abz_20x15,abz,20x15,9,12,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,9,13,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,9,14,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,10,0,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,10,1,6,60,60,0.1
abz_20x15,abz,20x15,10,2,6,60,60,0.1
abz_20x15,abz,20x15,10,3,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,10,4,9,60,60,0.15
abz_20x15,abz,20x15,10,5,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,10,6,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,10,7,6,60,60,0.1
abz_20x15,abz,20x15,10,8,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,10,9,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,10,10,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,10,11,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,10,12,3,60,60,0.05
abz_20x15,abz,20x15,10,13,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,10,14,6,60,60,0.1
abz_20x15,abz,20x15,11,0,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,11,1,10,60,60,0.16666666666666666
abz_20x15,abz,20x15,11,2,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,11,3,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,11,4,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,11,5,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,11,6,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,11,7,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,11,8,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,11,9,3,60,60,0.05
abz_20x15,abz,20x15,11,10,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,11,11,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,11,12,3,60,60,0.05
abz_20x15,abz,20x15,11,13,3,60,60,0.05
abz_20x15,abz,20x15,11,14,6,60,60,0.1
abz_20x15,abz,20x15,12,0,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,12,1,6,60,60,0.1
abz_20x15,abz,20x15,12,2,3,60,60,0.05
abz_20x15,abz,20x15,12,3,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,12,4,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,12,5,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,12,6,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,12,7,3,60,60,0.05
abz_20x15,abz,20x15,12,8,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,12,9,3,60,60,0.05
abz_20x15,abz,20x15,12,10,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,12,11,6,60,60,0.1
abz_20x15,abz,20x15,12,12,3,60,60,0.05
abz_20x15,abz,20x15,12,13,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,12,14,6,60,60,0.1
abz_20x15,abz,20x15,13,0,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,13,1,3,60,60,0.05
abz_20x15,abz,20x15,13,2,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,13,3,0,60,60,0.0
abz_20x15,abz,20x15,13,4,6,60,60,0.1
abz_20x15,abz,20x15,13,5,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,13,6,3,60,60,0.05
abz_20x15,abz,20x15,13,7,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,13,8,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,13,9,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,13,10,3,60,60,0.05
abz_20x15,abz,20x15,13,11,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,13,12,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,13,13,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,13,14,3,60,60,0.05
abz_20x15,abz,20x15,14,0,8,60,60,0.13333333333333333
abz_20x15,abz,20x15,14,1,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,14,2,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,14,3,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,14,4,3,60,60,0.05
abz_20x15,abz,20x15,14,5,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,14,6,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,14,7,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,14,8,6,60,60,0.1
abz_20x15,abz,20x15,14,9,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,14,10,6,60,60,0.1
abz_20x15,abz,20x15,14,11,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,14,12,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,14,13,3,60,60,0.05
abz_20x15,abz,20x15,14,14,2,60,60,0.03333333333333333
ft_10x10,ft,10x10,0,0,3,10,10,0.3
ft_10x10,ft,10x10,0,1,4,10,10,0.4
ft_10x10,ft,10x10,0,2,3,10,10,0.3
ft_10x10,ft,10x10,0,3,0,10,10,0.0
ft_10x10,ft,10x10,0,4,0,10,10,0.0
ft_10x10,ft,10x10,0,5,0,10,10,0.0
ft_10x10,ft,10x10,0,6,0,10,10,0.0
ft_10x10,ft,10x10,0,7,0,10,10,0.0
ft_10x10,ft,10x10,0,8,0,10,10,0.0
ft_10x10,ft,10x10,0,9,0,10,10,0.0
ft_10x10,ft,10x10,1,0,5,10,10,0.5
ft_10x10,ft,10x10,1,1,3,10,10,0.3
ft_10x10,ft,10x10,1,2,2,10,10,0.2
ft_10x10,ft,10x10,1,3,0,10,10,0.0
ft_10x10,ft,10x10,1,4,0,10,10,0.0
ft_10x10,ft,10x10,1,5,0,10,10,0.0
ft_10x10,ft,10x10,1,6,0,10,10,0.0
ft_10x10,ft,10x10,1,7,0,10,10,0.0
ft_10x10,ft,10x10,1,8,0,10,10,0.0
ft_10x10,ft,10x10,1,9,0,10,10,0.0
ft_10x10,ft,10x10,2,0,1,10,10,0.1
ft_10x10,ft,10x10,2,1,2,10,10,0.2
ft_10x10,ft,10x10,2,2,2,10,10,0.2
ft_10x10,ft,10x10,2,3,3,10,10,0.3
ft_10x10,ft,10x10,2,4,1,10,10,0.1
ft_10x10,ft,10x10,2,5,1,10,10,0.1
ft_10x10,ft,10x10,2,6,0,10,10,0.0
ft_10x10,ft,10x10,2,7,0,10,10,0.0
ft_10x10,ft,10x10,2,8,0,10,10,0.0
ft_10x10,ft,10x10,2,9,0,10,10,0.0
ft_10x10,ft,10x10,3,0,0,10,10,0.0
ft_10x10,ft,10x10,3,1,0,10,10,0.0
ft_10x10,ft,10x10,3,2,2,10,10,0.2
ft_10x10,ft,10x10,3,3,2,10,10,0.2
ft_10x10,ft,10x10,3,4,1,10,10,0.1
ft_10x10,ft,10x10,3,5,3,10,10,0.3
ft_10x10,ft,10x10,3,6,1,10,10,0.1
ft_10x10,ft,10x10,3,7,0,10,10,0.0
ft_10x10,ft,10x10,3,8,0,10,10,0.0
ft_10x10,ft,10x10,3,9,1,10,10,0.1
ft_10x10,ft,10x10,4,0,0,10,10,0.0
ft_10x10,ft,10x10,4,1,0,10,10,0.0
ft_10x10,ft,10x10,4,2,1,10,10,0.1
ft_10x10,ft,10x10,4,3,2,10,10,0.2
ft_10x10,ft,10x10,4,4,2,10,10,0.2
ft_10x10,ft,10x10,4,5,0,10,10,0.0
ft_10x10,ft,10x10,4,6,2,10,10,0.2
ft_10x10,ft,10x10,4,7,0,10,10,0.0
ft_10x10,ft,10x10,4,8,3,10,10,0.3
ft_10x10,ft,10x10,4,9,0,10,10,0.0
ft_10x10,ft,10x10,5,0,0,10,10,0.0
ft_10x10,ft,10x10,5,1,1,10,10,0.1
ft_10x10,ft,10x10,5,2,0,10,10,0.0
ft_10x10,ft,10x10,5,3,0,10,10,0.0
ft_10x10,ft,10x10,5,4,1,10,10,0.1
ft_10x10,ft,10x10,5,5,3,10,10,0.3
ft_10x10,ft,10x10,5,6,1,10,10,0.1
ft_10x10,ft,10x10,5,7,0,10,10,0.0
ft_10x10,ft,10x10,5,8,1,10,10,0.1
ft_10x10,ft,10x10,5,9,3,10,10,0.3
ft_10x10,ft,10x10,6,0,1,10,10,0.1
ft_10x10,ft,10x10,6,1,0,10,10,0.0
ft_10x10,ft,10x10,6,2,0,10,10,0.0
ft_10x10,ft,10x10,6,3,0,10,10,0.0
ft_10x10,ft,10x10,6,4,0,10,10,0.0
ft_10x10,ft,10x10,6,5,1,10,10,0.1
ft_10x10,ft,10x10,6,6,3,10,10,0.3
ft_10x10,ft,10x10,6,7,2,10,10,0.2
ft_10x10,ft,10x10,6,8,2,10,10,0.2
ft_10x10,ft,10x10,6,9,1,10,10,0.1
ft_10x10,ft,10x10,7,0,0,10,10,0.0
ft_10x10,ft,10x10,7,1,0,10,10,0.0
ft_10x10,ft,10x10,7,2,0,10,10,0.0
ft_10x10,ft,10x10,7,3,2,10,10,0.2
ft_10x10,ft,10x10,7,4,0,10,10,0.0
ft_10x10,ft,10x10,7,5,1,10,10,0.1
ft_10x10,ft,10x10,7,6,2,10,10,0.2
ft_10x10,ft,10x10,7,7,3,10,10,0.3
ft_10x10,ft,10x10,7,8,1,10,10,0.1
ft_10x10,ft,10x10,7,9,1,10,10,0.1
ft_10x10,ft,10x10,8,0,0,10,10,0.0
ft_10x10,ft,10x10,8,1,0,10,10,0.0
ft_10x10,ft,10x10,8,2,0,10,10,0.0
ft_10x10,ft,10x10,8,3,0,10,10,0.0
ft_10x10,ft,10x10,8,4,3,10,10,0.3
ft_10x10,ft,10x10,8,5,0,10,10,0.0
ft_10x10,ft,10x10,8,6,0,10,10,0.0
ft_10x10,ft,10x10,8,7,3,10,10,0.3
ft_10x10,ft,10x10,8,8,1,10,10,0.1
ft_10x10,ft,10x10,8,9,3,10,10,0.3
ft_10x10,ft,10x10,9,0,0,10,10,0.0
ft_10x10,ft,10x10,9,1,0,10,10,0.0
ft_10x10,ft,10x10,9,2,0,10,10,0.0
ft_10x10,ft,10x10,9,3,1,10,10,0.1
ft_10x10,ft,10x10,9,4,2,10,10,0.2
ft_10x10,ft,10x10,9,5,1,10,10,0.1
ft_10x10,ft,10x10,9,6,1,10,10,0.1
ft_10x10,ft,10x10,9,7,2,10,10,0.2
ft_10x10,ft,10x10,9,8,2,10,10,0.2
ft_10x10,ft,10x10,9,9,1,10,10,0.1
ft_20x5,ft,20x5,0,0,8,20,20,0.4
ft_20x5,ft,20x5,0,1,7,20,20,0.35
ft_20x5,ft,20x5,0,2,5,20,20,0.25
ft_20x5,ft,20x5,0,3,0,20,20,0.0
ft_20x5,ft,20x5,0,4,0,20,20,0.0
ft_20x5,ft,20x5,1,0,6,20,20,0.3
ft_20x5,ft,20x5,1,1,8,20,20,0.4
ft_20x5,ft,20x5,1,2,4,20,20,0.2
ft_20x5,ft,20x5,1,3,2,20,20,0.1
ft_20x5,ft,20x5,1,4,0,20,20,0.0
ft_20x5,ft,20x5,2,0,5,20,20,0.25
ft_20x5,ft,20x5,2,1,4,20,20,0.2
ft_20x5,ft,20x5,2,2,5,20,20,0.25
ft_20x5,ft,20x5,2,3,2,20,20,0.1
ft_20x5,ft,20x5,2,4,4,20,20,0.2
ft_20x5,ft,20x5,3,0,1,20,20,0.05
ft_20x5,ft,20x5,3,1,1,20,20,0.05
ft_20x5,ft,20x5,3,2,4,20,20,0.2
ft_20x5,ft,20x5,3,3,11,20,20,0.55
ft_20x5,ft,20x5,3,4,3,20,20,0.15
ft_20x5,ft,20x5,4,0,0,20,20,0.0
ft_20x5,ft,20x5,4,1,0,20,20,0.0
ft_20x5,ft,20x5,4,2,2,20,20,0.1
ft_20x5,ft,20x5,4,3,5,20,20,0.25
ft_20x5,ft,20x5,4,4,13,20,20,0.65
ft_6x6,ft,6x6,0,0,0,6,6,0.0
ft_6x6,ft,6x6,0,1,3,6,6,0.5
ft_6x6,ft,6x6,0,2,3,6,6,0.5
ft_6x6,ft,6x6,0,3,0,6,6,0.0
ft_6x6,ft,6x6,0,4,0,6,6,0.0
ft_6x6,ft,6x6,0,5,0,6,6,0.0
ft_6x6,ft,6x6,1,0,2,6,6,0.3333333333333333
ft_6x6,ft,6x6,1,1,1,6,6,0.16666666666666666
ft_6x6,ft,6x6,1,2,1,6,6,0.16666666666666666
ft_6x6,ft,6x6,1,3,2,6,6,0.3333333333333333
ft_6x6,ft,6x6,1,4,0,6,6,0.0
ft_6x6,ft,6x6,1,5,0,6,6,0.0
ft_6x6,ft,6x6,2,0,0,6,6,0.0
ft_6x6,ft,6x6,2,1,1,6,6,0.16666666666666666
ft_6x6,ft,6x6,2,2,1,6,6,0.16666666666666666
ft_6x6,ft,6x6,2,3,0,6,6,0.0
ft_6x6,ft,6x6,2,4,2,6,6,0.3333333333333333
ft_6x6,ft,6x6,2,5,2,6,6,0.3333333333333333
