family,position,machine,count,jobs,total_jobs,frequency
abz,14,8,6,60,80,0.075
abz,14,9,4,60,80,0.05
abz,14,10,6,60,80,0.075
abz,14,11,2,60,80,0.025
abz,14,12,5,60,80,0.0625
abz,14,13,3,60,80,0.0375
abz,14,14,2,60,80,0.025
ft,0,0,11,36,36,0.3055555555555556
ft,0,1,14,36,36,0.3888888888888889
ft,0,2,11,36,36,0.3055555555555556
ft,0,3,0,36,36,0.0
ft,0,4,0,36,36,0.0
ft,0,5,0,16,36,0.0
ft,0,6,0,10,36,0.0
ft,0,7,0,10,36,0.0
ft,0,8,0,10,36,0.0
ft,0,9,0,10,36,0.0
ft,1,0,13,36,36,0.3611111111111111
ft,1,1,12,36,36,0.3333333333333333
ft,1,2,7,36,36,0.19444444444444445
ft,1,3,4,36,36,0.1111111111111111
ft,1,4,0,36,36,0.0
ft,1,5,0,16,36,0.0
ft,1,6,0,10,36,0.0
ft,1,7,0,10,36,0.0
ft,1,8,0,10,36,0.0
ft,1,9,0,10,36,0.0
ft,2,0,6,36,36,0.16666666666666666
ft,2,1,7,36,36,0.19444444444444445
ft,2,2,8,36,36,0.2222222222222222
ft,2,3,5,36,36,0.1388888888888889
ft,2,4,7,36,36,0.19444444444444445
ft,2,5,3,16,36,0.08333333333333333
ft,2,6,0,10,36,0.0
ft,2,7,0,10,36,0.0
ft,2,8,0,10,36,0.0
ft,2,9,0,10,36,0.0
ft,3,0,3,36,36,0.08333333333333333
ft,3,1,1,36,36,0.027777777777777776
ft,3,2,6,36,36,0.16666666666666666
ft,3,3,15,36,36,0.4166666666666667
ft,3,4,4,36,36,0.1111111111111111
ft,3,5,5,16,36,0.1388888888888889
ft,3,6,1,10,36,0.027777777777777776
ft,3,7,0,10,36,0.0
ft,3,8,0,10,36,0.0
ft,3,9,1,10,36,0.027777777777777776
ft,4,0,2,36,36,0.05555555555555555
ft,4,1,1,36,36,0.027777777777777776
ft,4,2,3,36,36,0.08333333333333333
ft,4,3,7,36,36,0.19444444444444445
ft,4,4,17,36,36,0.4722222222222222
ft,4,5,1,16,36,0.027777777777777776
ft,4,6,2,10,36,0.05555555555555555
ft,4,7,0,10,36,0.0
ft,4,8,3,10,36,0.08333333333333333
ft,4,9,0,10,36,0.0
ft,5,0,0,16,36,0.0
ft,5,1,1,16,36,0.027777777777777776
ft,5,2,1,16,36,0.027777777777777776
ft,5,3,2,16,36,0.05555555555555555
ft,5,4,3,16,36,0.08333333333333333
ft,5,5,4,16,36,0.1111111111111111
ft,5,6,1,10,36,0.027777777777777776
ft,5,7,0,10,36,0.0
ft,5,8,1,10,36,0.027777777777777776
ft,5,9,3,10,36,0.08333333333333333
ft,6,0,1,10,36,0.027777777777777776
ft,6,1,0,10,36,0.0
ft,6,2,0,10,36,0.0
ft,6,3,0,10,36,0.0
ft,6,4,0,10,36,0.0
ft,6,5,1,10,36,0.027777777777777776
ft,6,6,3,10,36,0.08333333333333333
ft,6,7,2,10,36,0.05555555555555555
ft,6,8,2,10,36,0.05555555555555555
ft,6,9,1,10,36,0.027777777777777776
ft,7,0,0,10,36,0.0
ft,7,1,0,10,36,0.0
ft,7,2,0,10,36,0.0
ft,7,3,2,10,36,0.05555555555555555
ft,7,4,0,10,36,0.0
ft,7,5,1,10,36,0.027777777777777776
ft,7,6,2,10,36,0.05555555555555555
ft,7,7,3,10,36,0.08333333333333333
ft,7,8,1,10,36,0.027777777777777776
ft,7,9,1,10,36,0.027777777777777776
ft,8,0,0,10,36,0.0
ft,8,1,0,10,36,0.0
ft,8,2,0,10,36,0.0
ft,8,3,0,10,36,0.0
ft,8,4,3,10,36,0.08333333333333333
ft,8,5,0,10,36,0.0
ft,8,6,0,10,36,0.0
ft,8,7,3,10,36,0.08333333333333333
ft,8,8,1,10,36,0.027777777777777776
ft,8,9,3,10,36,0.08333333333333333
ft,9,0,0,10,36,0.0
ft,9,1,0,10,36,0.0
ft,9,2,0,10,36,0.0
ft,9,3,1,10,36,0.027777777777777776
ft,9,4,2,10,36,0.05555555555555555
ft,9,5,1,10,36,0.027777777777777776
ft,9,6,1,10,36,0.027777777777777776
ft,9,7,2,10,36,0.05555555555555555
ft,9,8,2,10,36,0.05555555555555555
ft,9,9,1,10,36,0.027777777777777776
la,0,0,86,675,675,0.1274074074074074
la,0,1,110,675,675,0.16296296296296298
la,0,2,97,675,675,0.1437037037037037
la,0,3,81,675,675,0.12
la,0,4,104,675,675,0.15407407407407409
la,0,5,32,450,675,0.047407407407407405
la,0,6,31,450,675,0.045925925925925926
la,0,7,36,450,675,0.05333333333333334
la,0,8,31,450,675,0.045925925925925926
la,0,9,41,450,675,0.06074074074074074
la,0,10,8,75,675,0.011851851851851851
la,0,11,7,75,675,0.01037037037037037
la,0,12,3,75,675,0.0044444444444444444
la,0,13,3,75,675,0.0044444444444444444
la,0,14,5,75,675,0.007407407407407408
la,1,0,89,675,675,0.13185185185185186
la,1,1,85,675,675,0.1259259259259259
la,1,2,105,675,675,0.15555555555555556
la,1,3,110,675,675,0.16296296296296298
la,1,4,73,675,675,0.10814814814814815
la,1,5,56,450,675,0.08296296296296296
la,1,6,36,450,675,0.05333333333333334
la,1,7,48,450,675,0.07111111111111111
la,1,8,29,450,675,0.04296296296296296
la,1,9,25,450,675,0.037037037037037035
la,1,10,5,75,675,0.007407407407407408
la,1,11,1,75,675,0.0014814814814814814
la,1,12,5,75,675,0.007407407407407408
la,1,13,3,75,675,0.0044444444444444444
la,1,14,5,75,675,0.007407407407407408
la,2,0,99,675,675,0.14666666666666667
la,2,1,70,675,675,0.1037037037037037
la,2,2,84,675,675,0.12444444444444444
la,2,3,95,675,675,0.14074074074074075
la,2,4,108,675,675,0.16
la,2,5,41,450,675,0.06074074074074074
la,2,6,48,450,675,0.07111111111111111
la,2,7,34,450,675,0.05037037037037037
la,2,8,42,450,675,0.06222222222222222
la,2,9,37,450,675,0.054814814814814816
la,2,10,4,75,675,0.005925925925925926
la,2,11,7,75,675,0.01037037037037037
la,2,12,3,75,675,0.0044444444444444444
la,2,13,3,75,675,0.0044444444444444444
la,2,14,0,75,675,0.0
la,3,0,81,675,675,0.12
la,3,1,79,675,675,0.11703703703703704
la,3,2,86,675,675,0.1274074074074074
la,3,3,83,675,675,0.12296296296296297
la,3,4,105,675,675,0.15555555555555556
la,3,5,63,450,675,0.09333333333333334
la,3,6,46,450,675,0.06814814814814815
la,3,7,39,450,675,0.057777777777777775
la,3,8,38,450,675,0.056296296296296296
la,3,9,35,450,675,0.05185185185185185
la,3,10,1,75,675,0.0014814814814814814
la,3,11,3,75,675,0.0044444444444444444
la,3,12,7,75,675,0.01037037037037037
la,3,13,4,75,675,0.005925925925925926
la,3,14,5,75,675,0.007407407407407408
la,4,0,85,675,675,0.1259259259259259
la,4,1,101,675,675,0.14962962962962964
la,4,2,102,675,675,0.1511111111111111
la,4,3,86,675,675,0.1274074074074074
la,4,4,93,675,675,0.13777777777777778
la,4,5,17,450,675,0.025185185185185185
la,4,6,33,450,675,0.04888888888888889
la,4,7,44,450,675,0.06518518518518518
la,4,8,44,450,675,0.06518518518518518
la,4,9,42,450,675,0.06222222222222222
la,4,10,7,75,675,0.01037037037037037
la,4,11,6,75,675,0.008888888888888889
la,4,12,3,75,675,0.0044444444444444444
la,4,13,3,75,675,0.0044444444444444444
la,4,14,9,75,675,0.013333333333333334
la,5,0,40,450,675,0.05925925925925926
la,5,1,26,450,675,0.03851851851851852
la,5,2,31,450,675,0.045925925925925926
la,5,3,52,450,675,0.07703703703703704
la,5,4,29,450,675,0.04296296296296296
la,5,5,41,450,675,0.06074074074074074
la,5,6,68,450,675,0.10074074074074074
la,5,7,43,450,675,0.0637037037037037
la,5,8,56,450,675,0.08296296296296296
la,5,9,33,450,675,0.04888888888888889
la,5,10,5,75,675,0.007407407407407408
la,5,11,4,75,675,0.005925925925925926
la,5,12,7,75,675,0.01037037037037037
la,5,13,6,75,675,0.008888888888888889
la,5,14,9,75,675,0.013333333333333334
la,6,0,37,450,675,0.054814814814814816
la,6,1,31,450,675,0.045925925925925926
la,6,2,36,450,675,0.05333333333333334
la,6,3,42,450,675,0.06222222222222222
la,6,4,37,450,675,0.054814814814814816
la,6,5,40,450,675,0.05925925925925926
la,6,6,44,450,675,0.06518518518518518
la,6,7,44,450,675,0.06518518518518518
la,6,8,68,450,675,0.10074074074074074
la,6,9,49,450,675,0.0725925925925926
la,6,10,3,75,675,0.0044444444444444444
la,6,11,6,75,675,0.008888888888888889
la,6,12,6,75,675,0.008888888888888889
la,6,13,2,75,675,0.002962962962962963
la,6,14,5,75,675,0.007407407407407408
la,7,0,51,450,675,0.07555555555555556
la,7,1,37,450,675,0.054814814814814816
la,7,2,29,450,675,0.04296296296296296
la,7,3,39,450,675,0.057777777777777775
la,7,4,35,450,675,0.05185185185185185
la,7,5,51,450,675,0.07555555555555556
la,7,6,44,450,675,0.06518518518518518
la,7,7,29,450,675,0.04296296296296296
la,7,8,54,450,675,0.08
la,7,9,57,450,675,0.08444444444444445
la,7,10,6,75,675,0.008888888888888889
la,7,11,4,75,675,0.005925925925925926
la,7,12,4,75,675,0.005925925925925926
la,7,13,8,75,675,0.011851851851851851
la,7,14,2,75,675,0.002962962962962963
la,8,0,26,450,675,0.03851851851851852
la,8,1,56,450,675,0.08296296296296296
la,8,2,38,450,675,0.056296296296296296
la,8,3,36,450,675,0.05333333333333334
la,8,4,26,450,675,0.03851851851851852
la,8,5,43,450,675,0.0637037037037037
la,8,6,39,450,675,0.057777777777777775
la,8,7,53,450,675,0.07851851851851852
la,8,8,25,450,675,0.037037037037037035
la,8,9,77,450,675,0.11407407407407408
la,8,10,8,75,675,0.011851851851851851
la,8,11,6,75,675,0.008888888888888889
la,8,12,6,75,675,0.008888888888888889
la,8,13,8,75,675,0.011851851851851851
la,8,14,3,75,675,0.0044444444444444444
la,9,0,56,450,675,0.08296296296296296
la,9,1,53,450,675,0.07851851851851852
la,9,2,32,450,675,0.047407407407407405
la,9,3,29,450,675,0.04296296296296296
la,9,4,47,450,675,0.06962962962962962
la,9,5,45,450,675,0.06666666666666667
la,9,6,42,450,675,0.06222222222222222
la,9,7,53,450,675,0.07851851851851852
la,9,8,36,450,675,0.05333333333333334
la,9,9,34,450,675,0.05037037037037037
la,9,10,6,75,675,0.008888888888888889
la,9,11,4,75,675,0.005925925925925926
la,9,12,3,75,675,0.0044444444444444444
la,9,13,10,75,675,0.014814814814814815
la,9,14,0,75,675,0.0
la,10,0,4,75,675,0.005925925925925926
la,10,1,5,75,675,0.007407407407407408
la,10,2,8,75,675,0.011851851851851851
la,10,3,3,75,675,0.0044444444444444444
la,10,4,1,75,675,0.0014814814814814814
la,10,5,8,75,675,0.011851851851851851
la,10,6,5,75,675,0.007407407407407408
la,10,7,5,75,675,0.007407407407407408
la,10,8,6,75,675,0.008888888888888889
la,10,9,2,75,675,0.002962962962962963
la,10,10,1,75,675,0.0014814814814814814
la,10,11,12,75,675,0.017777777777777778
la,10,12,6,75,675,0.008888888888888889
la,10,13,5,75,675,0.007407407407407408
la,10,14,4,75,675,0.005925925925925926
la,11,0,3,75,675,0.0044444444444444444
la,11,1,7,75,675,0.01037037037037037
la,11,2,2,75,675,0.002962962962962963
la,11,3,4,75,675,0.005925925925925926
la,11,4,3,75,675,0.0044444444444444444
la,11,5,4,75,675,0.005925925925925926
la,11,6,6,75,675,0.008888888888888889
la,11,7,10,75,675,0.014814814814814815
la,11,8,9,75,675,0.013333333333333334
la,11,9,3,75,675,0.0044444444444444444
la,11,10,6,75,675,0.008888888888888889
la,11,11,3,75,675,0.0044444444444444444
la,11,12,2,75,675,0.002962962962962963
la,11,13,8,75,675,0.011851851851851851
la,11,14,5,75,675,0.007407407407407408
la,12,0,4,75,675,0.005925925925925926
la,12,1,4,75,675,0.005925925925925926
la,12,2,11,75,675,0.016296296296296295
la,12,3,7,75,675,0.01037037037037037
la,12,4,5,75,675,0.007407407407407408
la,12,5,1,75,675,0.0014814814814814814
la,12,6,3,75,675,0.0044444444444444444
la,12,7,3,75,675,0.0044444444444444444
la,12,8,3,75,675,0.0044444444444444444
la,12,9,4,75,675,0.005925925925925926
la,12,10,9,75,675,0.013333333333333334
la,12,11,2,75,675,0.002962962962962963
la,12,12,6,75,675,0.008888888888888889
la,12,13,6,75,675,0.008888888888888889
la,12,14,7,75,675,0.01037037037037037
la,13,0,2,75,675,0.002962962962962963
la,13,1,5,75,675,0.007407407407407408
la,13,2,9,75,675,0.013333333333333334
la,13,3,3,75,675,0.0044444444444444444
la,13,4,3,75,675,0.0044444444444444444
la,13,5,4,75,675,0.005925925925925926
la,13,6,3,75,675,0.0044444444444444444
la,13,7,4,75,675,0.005925925925925926
la,13,8,4,75,675,0.005925925925925926
la,13,9,5,75,675,0.007407407407407408
la,13,10,5,75,675,0.007407407407407408
la,13,11,4,75,675,0.005925925925925926
la,13,12,10,75,675,0.014814814814814815
la,13,13,3,75,675,0.0044444444444444444
la,13,14,11,75,675,0.016296296296296295
la,14,0,12,75,675,0.017777777777777778
la,14,1,6,75,675,0.008888888888888889
la,14,2,5,75,675,0.007407407407407408
la,14,3,5,75,675,0.007407407407407408
la,14,4,6,75,675,0.008888888888888889
la,14,5,4,75,675,0.005925925925925926
la,14,6,2,75,675,0.002962962962962963
la,14,7,5,75,675,0.007407407407407408
la,14,8,5,75,675,0.007407407407407408
la,14,9,6,75,675,0.008888888888888889
la,14,10,1,75,675,0.0014814814814814814
la,14,11,6,75,675,0.008888888888888889
la,14,12,4,75,675,0.005925925925925926
la,14,13,3,75,675,0.0044444444444444444
la,14,14,5,75,675,0.007407407407407408
orb,0,0,52,100,100,0.52
orb,0,1,12,100,100,0.12
orb,0,2,16,100,100,0.16
orb,0,3,0,100,100,0.0
orb,0,4,6,100,100,0.06
orb,0,5,0,100,100,0.0
orb,0,6,0,100,100,0.0
orb,0,7,0,100,100,0.0
orb,0,8,4,100,100,0.04
orb,0,9,10,100,100,0.1
orb,1,0,12,100,100,0.12
orb,1,1,30,100,100,0.3
orb,1,2,10,100,100,0.1
orb,1,3,12,100,100,0.12
orb,1,4,0,100,100,0.0
orb,1,5,4,100,100,0.04
orb,1,6,10,100,100,0.1
orb,1,7,2,100,100,0.02
orb,1,8,12,100,100,0.12
orb,1,9,8,100,100,0.08
orb,2,0,14,100,100,0.14
orb,2,1,6,100,100,0.06
orb,2,2,16,100,100,0.16
orb,2,3,16,100,100,0.16
orb,2,4,22,100,100,0.22
orb,2,5,4,100,100,0.04
orb,2,6,4,100,100,0.04
orb,2,7,6,100,100,0.06
orb,2,8,6,100,100,0.06
orb,2,9,6,100,100,0.06
orb,3,0,6,100,100,0.06
orb,3,1,4,100,100,0.04
orb,3,2,8,100,100,0.08
orb,3,3,30,100,100,0.3
orb,3,4,12,100,100,0.12
orb,3,5,4,100,100,0.04
orb,3,6,4,100,100,0.04
orb,3,7,14,100,100,0.14
orb,3,8,12,100,100,0.12
orb,3,9,6,100,100,0.06
orb,4,0,0,100,100,0.0
orb,4,1,12,100,100,0.12
orb,4,2,12,100,100,0.12
orb,4,3,8,100,100,0.08
orb,4,4,24,100,100,0.24
orb,4,5,18,100,100,0.18
orb,4,6,12,100,100,0.12
orb,4,7,4,100,100,0.04
orb,4,8,6,100,100,0.06
orb,4,9,4,100,100,0.04
orb,5,0,0,100,100,0.0
orb,5,1,6,100,100,0.06
orb,5,2,10,100,100,0.1
orb,5,3,8,100,100,0.08
orb,5,4,12,100,100,0.12
orb,5,5,32,100,100,0.32
orb,5,6,14,100,100,0.14
orb,5,7,12,100,100,0.12
orb,5,8,4,100,100,0.04
orb,5,9,2,100,100,0.02
orb,6,0,0,100,100,0.0
orb,6,1,2,100,100,0.02
orb,6,2,6,100,100,0.06
orb,6,3,16,100,100,0.16
orb,6,4,12,100,100,0.12
orb,6,5,10,100,100,0.1
orb,6,6,26,100,100,0.26
orb,6,7,14,100,100,0.14
orb,6,8,6,100,100,0.06
orb,6,9,8,100,100,0.08
orb,7,0,0,100,100,0.0
orb,7,1,2,100,100,0.02
orb,7,2,16,100,100,0.16
orb,7,3,2,100,100,0.02
orb,7,4,4,100,100,0.04
orb,7,5,12,100,100,0.12
orb,7,6,14,100,100,0.14
orb,7,7,28,100,100,0.28
orb,7,8,6,100,100,0.06
orb,7,9,16,100,100,0.16
orb,8,0,4,100,100,0.04
orb,8,1,14,100,100,0.14
orb,8,2,4,100,100,0.04
orb,8,3,6,100,100,0.06
orb,8,4,2,100,100,0.02
orb,8,5,8,100,100,0.08
orb,8,6,8,100,100,0.08
orb,8,7,14,100,100,0.14
orb,8,8,26,100,100,0.26
orb,8,9,14,100,100,0.14
orb,9,0,12,100,100,0.12
orb,9,1,12,100,100,0.12
orb,9,2,2,100,100,0.02
orb,9,3,2,100,100,0.02
orb,9,4,6,100,100,0.06
orb,9,5,8,100,100,0.08
orb,9,6,8,100,100,0.08
orb,9,7,6,100,100,0.06
orb,9,8,18,100,100,0.18
orb,9,9,26,100,100,0.26
swv,0,0,100,700,700,0.14285714285714285
swv,0,1,97,700,700,0.13857142857142857
swv,0,2,109,700,700,0.15571428571428572
swv,0,3,111,700,700,0.15857142857142856
swv,0,4,120,700,700,0.17142857142857143
swv,0,5,37,700,700,0.05285714285714286
swv,0,6,46,700,700,0.06571428571428571
swv,0,7,29,700,700,0.041428571428571426
swv,0,8,19,700,700,0.027142857142857142
swv,0,9,32,700,700,0.045714285714285714
swv,0,10,0,100,700,0.0
swv,0,11,0,100,700,0.0
swv,0,12,0,100,700,0.0
swv,0,13,0,100,700,0.0
swv,0,14,0,100,700,0.0
swv,1,0,120,700,700,0.17142857142857143
swv,1,1,119,700,700,0.17
swv,1,2,105,700,700,0.15
swv,1,3,85,700,700,0.12142857142857143
swv,1,4,107,700,700,0.15285714285714286
swv,1,5,40,700,700,0.05714285714285714
swv,1,6,46,700,700,0.06571428571428571
swv,1,7,28,700,700,0.04
swv,1,8,26,700,700,0.037142857142857144
swv,1,9,24,700,700,0.03428571428571429
swv,1,10,0,100,700,0.0
swv,1,11,0,100,700,0.0
swv,1,12,0,100,700,0.0
swv,1,13,0,100,700,0.0
swv,1,14,0,100,700,0.0
swv,2,0,113,700,700,0.16142857142857142
swv,2,1,116,700,700,0.1657142857142857
swv,2,2,106,700,700,0.15142857142857144
swv,2,3,128,700,700,0.18285714285714286
swv,2,4,107,700,700,0.15285714285714286
swv,2,5,32,700,700,0.045714285714285714
swv,2,6,38,700,700,0.054285714285714284
swv,2,7,11,700,700,0.015714285714285715
swv,2,8,29,700,700,0.041428571428571426
swv,2,9,20,700,700,0.02857142857142857
swv,2,10,0,100,700,0.0
swv,2,11,0,100,700,0.0
swv,2,12,0,100,700,0.0
swv,2,13,0,100,700,0.0
swv,2,14,0,100,700,0.0
swv,3,0,120,700,700,0.17142857142857143
swv,3,1,93,700,700,0.13285714285714287
swv,3,2,123,700,700,0.1757142857142857
swv,3,3,121,700,700,0.17285714285714285
swv,3,4,95,700,700,0.1357142857142857
swv,3,5,36,700,700,0.05142857142857143
swv,3,6,38,700,700,0.054285714285714284
swv,3,7,30,700,700,0.04285714285714286
swv,3,8,24,700,700,0.03428571428571429
swv,3,9,20,700,700,0.02857142857142857
swv,3,10,0,100,700,0.0
swv,3,11,0,100,700,0.0
swv,3,12,0,100,700,0.0
swv,3,13,0,100,700,0.0
swv,3,14,0,100,700,0.0
swv,4,0,109,700,700,0.15571428571428572
swv,4,1,125,700,700,0.17857142857142858
swv,4,2,109,700,700,0.15571428571428572
swv,4,3,102,700,700,0.1457142857142857
swv,4,4,91,700,700,0.13
swv,4,5,42,700,700,0.06
swv,4,6,47,700,700,0.06714285714285714
swv,4,7,25,700,700,0.03571428571428571
swv,4,8,23,700,700,0.032857142857142856
swv,4,9,27,700,700,0.03857142857142857
swv,4,10,0,100,700,0.0
swv,4,11,0,100,700,0.0
swv,4,12,0,100,700,0.0
swv,4,13,0,100,700,0.0
swv,4,14,0,100,700,0.0
swv,5,0,32,700,700,0.045714285714285714
swv,5,1,44,700,700,0.06285714285714286
swv,5,2,41,700,700,0.05857142857142857
