family_size,family,size,machine_a,machine_b,count_a_before_b,count_b_before_a,total_comparisons,p_a_before_b,bias_from_0_5,dominant_direction,dominant_probability
abz_10x10,abz,10x10,5,8,11,9,20,0.55,0.050000000000000044,5->8,0.55
abz_10x10,abz,10x10,5,9,13,7,20,0.65,0.15000000000000002,5->9,0.65
abz_10x10,abz,10x10,6,7,11,9,20,0.55,0.050000000000000044,6->7,0.55
abz_10x10,abz,10x10,6,8,10,10,20,0.5,0.0,6->8,0.5
abz_10x10,abz,10x10,6,9,11,9,20,0.55,0.050000000000000044,6->9,0.55
abz_10x10,abz,10x10,7,8,8,12,20,0.4,0.09999999999999998,8->7,0.6
abz_10x10,abz,10x10,7,9,11,9,20,0.55,0.050000000000000044,7->9,0.55
abz_10x10,abz,10x10,8,9,13,7,20,0.65,0.15000000000000002,8->9,0.65
abz_20x15,abz,20x15,0,1,30,30,60,0.5,0.0,0->1,0.5
abz_20x15,abz,20x15,0,2,34,26,60,0.5666666666666667,0.06666666666666665,0->2,0.5666666666666667
abz_20x15,abz,20x15,0,3,23,37,60,0.38333333333333336,0.11666666666666664,3->0,0.6166666666666667
abz_20x15,abz,20x15,0,4,27,33,60,0.45,0.04999999999999999,4->0,0.55
abz_20x15,abz,20x15,0,5,23,37,60,0.38333333333333336,0.11666666666666664,5->0,0.6166666666666667
abz_20x15,abz,20x15,0,6,26,34,60,0.43333333333333335,0.06666666666666665,6->0,0.5666666666666667
abz_20x15,abz,20x15,0,7,32,28,60,0.5333333333333333,0.033333333333333326,0->7,0.5333333333333333
abz_20x15,abz,20x15,0,8,27,33,60,0.45,0.04999999999999999,8->0,0.55
abz_20x15,abz,20x15,0,9,27,33,60,0.45,0.04999999999999999,9->0,0.55
abz_20x15,abz,20x15,0,10,31,29,60,0.5166666666666667,0.01666666666666672,0->10,0.5166666666666667
abz_20x15,abz,20x15,0,11,31,29,60,0.5166666666666667,0.01666666666666672,0->11,0.5166666666666667
abz_20x15,abz,20x15,0,12,29,31,60,0.48333333333333334,0.016666666666666663,12->0,0.5166666666666666
abz_20x15,abz,20x15,0,13,29,31,60,0.48333333333333334,0.016666666666666663,13->0,0.5166666666666666
abz_20x15,abz,20x15,0,14,26,34,60,0.43333333333333335,0.06666666666666665,14->0,0.5666666666666667
abz_20x15,abz,20x15,1,2,28,32,60,0.4666666666666667,0.033333333333333326,2->1,0.5333333333333333
abz_20x15,abz,20x15,1,3,22,38,60,0.36666666666666664,0.13333333333333336,3->1,0.6333333333333333
abz_20x15,abz,20x15,1,4,30,30,60,0.5,0.0,1->4,0.5
abz_20x15,abz,20x15,1,5,22,38,60,0.36666666666666664,0.13333333333333336,5->1,0.6333333333333333
abz_20x15,abz,20x15,1,6,24,36,60,0.4,0.09999999999999998,6->1,0.6
abz_20x15,abz,20x15,1,7,30,30,60,0.5,0.0,1->7,0.5
abz_20x15,abz,20x15,1,8,26,34,60,0.43333333333333335,0.06666666666666665,8->1,0.5666666666666667
abz_20x15,abz,20x15,1,9,25,35,60,0.4166666666666667,0.08333333333333331,9->1,0.5833333333333333
abz_20x15,abz,20x15,1,10,30,30,60,0.5,0.0,1->10,0.5
abz_20x15,abz,20x15,1,11,29,31,60,0.48333333333333334,0.016666666666666663,11->1,0.5166666666666666
abz_20x15,abz,20x15,1,12,24,36,60,0.4,0.09999999999999998,12->1,0.6
abz_20x15,abz,20x15,1,13,23,37,60,0.38333333333333336,0.11666666666666664,13->1,0.6166666666666667
abz_20x15,abz,20x15,1,14,25,35,60,0.4166666666666667,0.08333333333333331,14->1,0.5833333333333333
abz_20x15,abz,20x15,2,3,24,36,60,0.4,0.09999999999999998,3->2,0.6
abz_20x15,abz,20x15,2,4,29,31,60,0.48333333333333334,0.016666666666666663,4->2,0.5166666666666666
abz_20x15,abz,20x15,2,5,21,39,60,0.35,0.15000000000000002,5->2,0.65
abz_20x15,abz,20x15,2,6,25,35,60,0.4166666666666667,0.08333333333333331,6->2,0.5833333333333333
abz_20x15,abz,20x15,2,7,30,30,60,0.5,0.0,2->7,0.5
abz_20x15,abz,20x15,2,8,25,35,60,0.4166666666666667,0.08333333333333331,8->2,0.5833333333333333
abz_20x15,abz,20x15,2,9,28,32,60,0.4666666666666667,0.033333333333333326,9->2,0.5333333333333333
abz_20x15,abz,20x15,2,10,28,32,60,0.4666666666666667,0.033333333333333326,10->2,0.5333333333333333
abz_20x15,abz,20x15,2,11,26,34,60,0.43333333333333335,0.06666666666666665,11->2,0.5666666666666667
abz_20x15,abz,20x15,2,12,32,28,60,0.5333333333333333,0.033333333333333326,2->12,0.5333333333333333
abz_20x15,abz,20x15,2,13,25,35,60,0.4166666666666667,0.08333333333333331,13->2,0.5833333333333333
abz_20x15,abz,20x15,2,14,26,34,60,0.43333333333333335,0.06666666666666665,14->2,0.5666666666666667
abz_20x15,abz,20x15,3,4,36,24,60,0.6,0.09999999999999998,3->4,0.6
abz_20x15,abz,20x15,3,5,26,34,60,0.43333333333333335,0.06666666666666665,5->3,0.5666666666666667
abz_20x15,abz,20x15,3,6,33,27,60,0.55,0.050000000000000044,3->6,0.55
abz_20x15,abz,20x15,3,7,37,23,60,0.6166666666666667,0.1166666666666667,3->7,0.6166666666666667
abz_20x15,abz,20x15,3,8,27,33,60,0.45,0.04999999999999999,8->3,0.55
abz_20x15,abz,20x15,3,9,35,25,60,0.5833333333333334,0.08333333333333337,3->9,0.5833333333333334
abz_20x15,abz,20x15,3,10,37,23,60,0.6166666666666667,0.1166666666666667,3->10,0.6166666666666667
abz_20x15,abz,20x15,3,11,35,25,60,0.5833333333333334,0.08333333333333337,3->11,0.5833333333333334
abz_20x15,abz,20x15,3,12,38,22,60,0.6333333333333333,0.1333333333333333,3->12,0.6333333333333333
abz_20x15,abz,20x15,3,13,36,24,60,0.6,0.09999999999999998,3->13,0.6
abz_20x15,abz,20x15,3,14,28,32,60,0.4666666666666667,0.033333333333333326,14->3,0.5333333333333333
abz_20x15,abz,20x15,4,5,19,41,60,0.31666666666666665,0.18333333333333335,5->4,0.6833333333333333
abz_20x15,abz,20x15,4,6,26,34,60,0.43333333333333335,0.06666666666666665,6->4,0.5666666666666667
abz_20x15,abz,20x15,4,7,28,32,60,0.4666666666666667,0.033333333333333326,7->4,0.5333333333333333
abz_20x15,abz,20x15,4,8,21,39,60,0.35,0.15000000000000002,8->4,0.65
abz_20x15,abz,20x15,4,9,31,29,60,0.5166666666666667,0.01666666666666672,4->9,0.5166666666666667
abz_20x15,abz,20x15,4,10,34,26,60,0.5666666666666667,0.06666666666666665,4->10,0.5666666666666667
abz_20x15,abz,20x15,4,11,30,30,60,0.5,0.0,4->11,0.5
abz_20x15,abz,20x15,4,12,24,36,60,0.4,0.09999999999999998,12->4,0.6
abz_20x15,abz,20x15,4,13,30,30,60,0.5,0.0,4->13,0.5
abz_20x15,abz,20x15,4,14,27,33,60,0.45,0.04999999999999999,14->4,0.55
abz_20x15,abz,20x15,5,6,34,26,60,0.5666666666666667,0.06666666666666665,5->6,0.5666666666666667
abz_20x15,abz,20x15,5,7,40,20,60,0.6666666666666666,0.16666666666666663,5->7,0.6666666666666666
abz_20x15,abz,20x15,5,8,34,26,60,0.5666666666666667,0.06666666666666665,5->8,0.5666666666666667
abz_20x15,abz,20x15,5,9,37,23,60,0.6166666666666667,0.1166666666666667,5->9,0.6166666666666667
abz_20x15,abz,20x15,5,10,39,21,60,0.65,0.15000000000000002,5->10,0.65
abz_20x15,abz,20x15,5,11,37,23,60,0.6166666666666667,0.1166666666666667,5->11,0.6166666666666667
abz_20x15,abz,20x15,5,12,32,28,60,0.5333333333333333,0.033333333333333326,5->12,0.5333333333333333
abz_20x15,abz,20x15,5,13,37,23,60,0.6166666666666667,0.1166666666666667,5->13,0.6166666666666667
abz_20x15,abz,20x15,5,14,35,25,60,0.5833333333333334,0.08333333333333337,5->14,0.5833333333333334
abz_20x15,abz,20x15,6,7,38,22,60,0.6333333333333333,0.1333333333333333,6->7,0.6333333333333333
abz_20x15,abz,20x15,6,8,27,33,60,0.45,0.04999999999999999,8->6,0.55
abz_20x15,abz,20x15,6,9,31,29,60,0.5166666666666667,0.01666666666666672,6->9,0.5166666666666667
abz_20x15,abz,20x15,6,10,36,24,60,0.6,0.09999999999999998,6->10,0.6
abz_20x15,abz,20x15,6,11,33,27,60,0.55,0.050000000000000044,6->11,0.55
abz_20x15,abz,20x15,6,12,36,24,60,0.6,0.09999999999999998,6->12,0.6
abz_20x15,abz,20x15,6,13,29,31,60,0.48333333333333334,0.016666666666666663,13->6,0.5166666666666666
abz_20x15,abz,20x15,6,14,27,33,60,0.45,0.04999999999999999,14->6,0.55
abz_20x15,abz,20x15,7,8,26,34,60,0.43333333333333335,0.06666666666666665,8->7,0.5666666666666667
abz_20x15,abz,20x15,7,9,29,31,60,0.48333333333333334,0.016666666666666663,9->7,0.5166666666666666
abz_20x15,abz,20x15,7,10,27,33,60,0.45,0.04999999999999999,10->7,0.55
abz_20x15,abz,20x15,7,11,29,31,60,0.48333333333333334,0.016666666666666663,11->7,0.5166666666666666
abz_20x15,abz,20x15,7,12,26,34,60,0.43333333333333335,0.06666666666666665,12->7,0.5666666666666667
abz_20x15,abz,20x15,7,13,27,33,60,0.45,0.04999999999999999,13->7,0.55
abz_20x15,abz,20x15,7,14,26,34,60,0.43333333333333335,0.06666666666666665,14->7,0.5666666666666667
abz_20x15,abz,20x15,8,9,39,21,60,0.65,0.15000000000000002,8->9,0.65
abz_20x15,abz,20x15,8,10,34,26,60,0.5666666666666667,0.06666666666666665,8->10,0.5666666666666667
abz_20x15,abz,20x15,8,11,36,24,60,0.6,0.09999999999999998,8->11,0.6
abz_20x15,abz,20x15,8,12,34,26,60,0.5666666666666667,0.06666666666666665,8->12,0.5666666666666667
abz_20x15,abz,20x15,8,13,33,27,60,0.55,0.050000000000000044,8->13,0.55
abz_20x15,abz,20x15,8,14,35,25,60,0.5833333333333334,0.08333333333333337,8->14,0.5833333333333334
abz_20x15,abz,20x15,9,10,31,29,60,0.5166666666666667,0.01666666666666672,9->10,0.5166666666666667
abz_20x15,abz,20x15,9,11,33,27,60,0.55,0.050000000000000044,9->11,0.55
abz_20x15,abz,20x15,9,12,30,30,60,0.5,0.0,9->12,0.5
abz_20x15,abz,20x15,9,13,29,31,60,0.48333333333333334,0.016666666666666663,13->9,0.5166666666666666
abz_20x15,abz,20x15,9,14,30,30,60,0.5,0.0,9->14,0.5
abz_20x15,abz,20x15,10,11,30,30,60,0.5,0.0,10->11,0.5
abz_20x15,abz,20x15,10,12,28,32,60,0.4666666666666667,0.033333333333333326,12->10,0.5333333333333333
abz_20x15,abz,20x15,10,13,27,33,60,0.45,0.04999999999999999,13->10,0.55
abz_20x15,abz,20x15,10,14,32,28,60,0.5333333333333333,0.033333333333333326,10->14,0.5333333333333333
abz_20x15,abz,20x15,11,12,23,37,60,0.38333333333333336,0.11666666666666664,12->11,0.6166666666666667
abz_20x15,abz,20x15,11,13,32,28,60,0.5333333333333333,0.033333333333333326,11->13,0.5333333333333333
abz_20x15,abz,20x15,11,14,32,28,60,0.5333333333333333,0.033333333333333326,11->14,0.5333333333333333
abz_20x15,abz,20x15,12,13,32,28,60,0.5333333333333333,0.033333333333333326,12->13,0.5333333333333333
abz_20x15,abz,20x15,12,14,31,29,60,0.5166666666666667,0.01666666666666672,12->14,0.5166666666666667
abz_20x15,abz,20x15,13,14,27,33,60,0.45,0.04999999999999999,14->13,0.55
ft_10x10,ft,10x10,0,1,5,5,10,0.5,0.0,0->1,0.5
ft_10x10,ft,10x10,0,2,6,4,10,0.6,0.09999999999999998,0->2,0.6
ft_10x10,ft,10x10,0,3,9,1,10,0.9,0.4,0->3,0.9
ft_10x10,ft,10x10,0,4,10,0,10,1.0,0.5,0->4,1.0
ft_10x10,ft,10x10,0,5,9,1,10,0.9,0.4,0->5,0.9
ft_10x10,ft,10x10,0,6,10,0,10,1.0,0.5,0->6,1.0
ft_10x10,ft,10x10,0,7,10,0,10,1.0,0.5,0->7,1.0
ft_10x10,ft,10x10,0,8,9,1,10,0.9,0.4,0->8,0.9
ft_10x10,ft,10x10,0,9,9,1,10,0.9,0.4,0->9,0.9
ft_10x10,ft,10x10,1,2,6,4,10,0.6,0.09999999999999998,1->2,0.6
ft_10x10,ft,10x10,1,3,9,1,10,0.9,0.4,1->3,0.9
ft_10x10,ft,10x10,1,4,9,1,10,0.9,0.4,1->4,0.9
ft_10x10,ft,10x10,1,5,10,0,10,1.0,0.5,1->5,1.0
ft_10x10,ft,10x10,1,6,10,0,10,1.0,0.5,1->6,1.0
ft_10x10,ft,10x10,1,7,10,0,10,1.0,0.5,1->7,1.0
ft_10x10,ft,10x10,1,8,10,0,10,1.0,0.5,1->8,1.0
ft_10x10,ft,10x10,1,9,9,1,10,0.9,0.4,1->9,0.9
ft_10x10,ft,10x10,2,3,7,3,10,0.7,0.19999999999999996,2->3,0.7
ft_10x10,ft,10x10,2,4,10,0,10,1.0,0.5,2->4,1.0
ft_10x10,ft,10x10,2,5,9,1,10,0.9,0.4,2->5,0.9
ft_10x10,ft,10x10,2,6,10,0,10,1.0,0.5,2->6,1.0
ft_10x10,ft,10x10,2,7,10,0,10,1.0,0.5,2->7,1.0
ft_10x10,ft,10x10,2,8,10,0,10,1.0,0.5,2->8,1.0
ft_10x10,ft,10x10,2,9,10,0,10,1.0,0.5,2->9,1.0
ft_10x10,ft,10x10,3,4,7,3,10,0.7,0.19999999999999996,3->4,0.7
ft_10x10,ft,10x10,3,5,6,4,10,0.6,0.09999999999999998,3->5,0.6
ft_10x10,ft,10x10,3,6,7,3,10,0.7,0.19999999999999996,3->6,0.7
ft_10x10,ft,10x10,3,7,8,2,10,0.8,0.30000000000000004,3->7,0.8
ft_10x10,ft,10x10,3,8,7,3,10,0.7,0.19999999999999996,3->8,0.7
ft_10x10,ft,10x10,3,9,7,3,10,0.7,0.19999999999999996,3->9,0.7
ft_10x10,ft,10x10,4,5,3,7,10,0.3,0.2,5->4,0.7
ft_10x10,ft,10x10,4,6,5,5,10,0.5,0.0,4->6,0.5
ft_10x10,ft,10x10,4,7,7,3,10,0.7,0.19999999999999996,4->7,0.7
ft_10x10,ft,10x10,4,8,6,4,10,0.6,0.09999999999999998,4->8,0.6
ft_10x10,ft,10x10,4,9,5,5,10,0.5,0.0,4->9,0.5
ft_10x10,ft,10x10,5,6,6,4,10,0.6,0.09999999999999998,5->6,0.6
ft_10x10,ft,10x10,5,7,9,1,10,0.9,0.4,5->7,0.9
ft_10x10,ft,10x10,5,8,7,3,10,0.7,0.19999999999999996,5->8,0.7
ft_10x10,ft,10x10,5,9,7,3,10,0.7,0.19999999999999996,5->9,0.7
ft_10x10,ft,10x10,6,7,8,2,10,0.8,0.30000000000000004,6->7,0.8
ft_10x10,ft,10x10,6,8,7,3,10,0.7,0.19999999999999996,6->8,0.7
ft_10x10,ft,10x10,6,9,6,4,10,0.6,0.09999999999999998,6->9,0.6
ft_10x10,ft,10x10,7,8,3,7,10,0.3,0.2,8->7,0.7
ft_10x10,ft,10x10,7,9,4,6,10,0.4,0.09999999999999998,9->7,0.6
ft_10x10,ft,10x10,8,9,7,3,10,0.7,0.19999999999999996,8->9,0.7
ft_20x5,ft,20x5,0,1,10,10,20,0.5,0.0,0->1,0.5
ft_20x5,ft,20x5,0,2,13,7,20,0.65,0.15000000000000002,0->2,0.65
ft_20x5,ft,20x5,0,3,19,1,20,0.95,0.44999999999999996,0->3,0.95
ft_20x5,ft,20x5,0,4,19,1,20,0.95,0.44999999999999996,0->4,0.95
ft_20x5,ft,20x5,1,2,12,8,20,0.6,0.09999999999999998,1->2,0.6
ft_20x5,ft,20x5,1,3,19,1,20,0.95,0.44999999999999996,1->3,0.95
ft_20x5,ft,20x5,1,4,20,0,20,1.0,0.5,1->4,1.0
ft_20x5,ft,20x5,2,3,16,4,20,0.8,0.30000000000000004,2->3,0.8
ft_20x5,ft,20x5,2,4,15,5,20,0.75,0.25,2->4,0.75
ft_20x5,ft,20x5,3,4,15,5,20,0.75,0.25,3->4,0.75
ft_6x6,ft,6x6,0,1,2,4,6,0.3333333333333333,0.16666666666666669,1->0,0.6666666666666667
ft_6x6,ft,6x6,0,2,2,4,6,0.3333333333333333,0.16666666666666669,2->0,0.6666666666666667
ft_6x6,ft,6x6,0,3,4,2,6,0.6666666666666666,0.16666666666666663,0->3,0.6666666666666666
ft_6x6,ft,6x6,0,4,4,2,6,0.6666666666666666,0.16666666666666663,0->4,0.6666666666666666
ft_6x6,ft,6x6,0,5,2,4,6,0.3333333333333333,0.16666666666666669,5->0,0.6666666666666667
ft_6x6,ft,6x6,1,2,3,3,6,0.5,0.0,1->2,0.5
ft_6x6,ft,6x6,1,3,5,1,6,0.8333333333333334,0.33333333333333337,1->3,0.8333333333333334
ft_6x6,ft,6x6,1,4,6,0,6,1.0,0.5,1->4,1.0
ft_6x6,ft,6x6,1,5,5,1,6,0.8333333333333334,0.33333333333333337,1->5,0.8333333333333334
ft_6x6,ft,6x6,2,3,5,1,6,0.8333333333333334,0.33333333333333337,2->3,0.8333333333333334
ft_6x6,ft,6x6,2,4,5,1,6,0.8333333333333334,0.33333333333333337,2->4,0.8333333333333334
ft_6x6,ft,6x6,2,5,5,1,6,0.8333333333333334,0.33333333333333337,2->5,0.8333333333333334
ft_6x6,ft,6x6,3,4,4,2,6,0.6666666666666666,0.16666666666666663,3->4,0.6666666666666666
ft_6x6,ft,6x6,3,5,4,2,6,0.6666666666666666,0.16666666666666663,3->5,0.6666666666666666
ft_6x6,ft,6x6,4,5,3,3,6,0.5,0.0,4->5,0.5
la_10x10,la,10x10,0,1,20,30,50,0.4,0.09999999999999998,1->0,0.6
la_10x10,la,10x10,0,2,23,27,50,0.46,0.03999999999999998,2->0,0.54
la_10x10,la,10x10,0,3,20,30,50,0.4,0.09999999999999998,3->0,0.6
la_10x10,la,10x10,0,4,23,27,50,0.46,0.03999999999999998,4->0,0.54
la_10x10,la,10x10,0,5,31,19,50,0.62,0.12,0->5,0.62
la_10x10,la,10x10,0,6,23,27,50,0.46,0.03999999999999998,6->0,0.54
la_10x10,la,10x10,0,7,29,21,50,0.58,0.07999999999999996,0->7,0.58
la_10x10,la,10x10,0,8,27,23,50,0.54,0.040000000000000036,0->8,0.54
la_10x10,la,10x10,0,9,26,24,50,0.52,0.020000000000000018,0->9,0.52
la_10x10,la,10x10,1,2,23,27,50,0.46,0.03999999999999998,2->1,0.54
la_10x10,la,10x10,1,3,22,28,50,0.44,0.06,3->1,0.56
la_10x10,la,10x10,1,4,23,27,50,0.46,0.03999999999999998,4->1,0.54
la_10x10,la,10x10,1,5,29,21,50,0.58,0.07999999999999996,1->5,0.58
la_10x10,la,10x10,1,6,27,23,50,0.54,0.040000000000000036,1->6,0.54
la_10x10,la,10x10,1,7,29,21,50,0.58,0.07999999999999996,1->7,0.58
la_10x10,la,10x10,1,8,30,20,50,0.6,0.09999999999999998,1->8,0.6
la_10x10,la,10x10,1,9,34,16,50,0.68,0.18000000000000005,1->9,0.68
la_10x10,la,10x10,2,3,27,23,50,0.54,0.040000000000000036,2->3,0.54
la_10x10,la,10x10,2,4,27,23,50,0.54,0.040000000000000036,2->4,0.54
la_10x10,la,10x10,2,5,35,15,50,0.7,0.19999999999999996,2->5,0.7
la_10x10,la,10x10,2,6,31,19,50,0.62,0.12,2->6,0.62
la_10x10,la,10x10,2,7,31,19,50,0.62,0.12,2->7,0.62
la_10x10,la,10x10,2,8,28,22,50,0.56,0.06000000000000005,2->8,0.56
la_10x10,la,10x10,2,9,34,16,50,0.68,0.18000000000000005,2->9,0.68
la_10x10,la,10x10,3,4,25,25,50,0.5,0.0,3->4,0.5
la_10x10,la,10x10,3,5,32,18,50,0.64,0.14,3->5,0.64
la_10x10,la,10x10,3,6,33,17,50,0.66,0.16000000000000003,3->6,0.66
la_10x10,la,10x10,3,7,33,17,50,0.66,0.16000000000000003,3->7,0.66
la_10x10,la,10x10,3,8,31,19,50,0.62,0.12,3->8,0.62
la_10x10,la,10x10,3,9,38,12,50,0.76,0.26,3->9,0.76
la_10x10,la,10x10,4,5,30,20,50,0.6,0.09999999999999998,4->5,0.6
la_10x10,la,10x10,4,6,29,21,50,0.58,0.07999999999999996,4->6,0.58
la_10x10,la,10x10,4,7,33,17,50,0.66,0.16000000000000003,4->7,0.66
la_10x10,la,10x10,4,8,30,20,50,0.6,0.09999999999999998,4->8,0.6
la_10x10,la,10x10,4,9,30,20,50,0.6,0.09999999999999998,4->9,0.6
la_10x10,la,10x10,5,6,23,27,50,0.46,0.03999999999999998,6->5,0.54
la_10x10,la,10x10,5,7,23,27,50,0.46,0.03999999999999998,7->5,0.54
la_10x10,la,10x10,5,8,21,29,50,0.42,0.08000000000000002,8->5,0.5800000000000001
la_10x10,la,10x10,5,9,27,23,50,0.54,0.040000000000000036,5->9,0.54
la_10x10,la,10x10,6,7,28,22,50,0.56,0.06000000000000005,6->7,0.56
la_10x10,la,10x10,6,8,23,27,50,0.46,0.03999999999999998,8->6,0.54
la_10x10,la,10x10,6,9,28,22,50,0.56,0.06000000000000005,6->9,0.56
la_10x10,la,10x10,7,8,26,24,50,0.52,0.020000000000000018,7->8,0.52
la_10x10,la,10x10,7,9,27,23,50,0.54,0.040000000000000036,7->9,0.54
la_10x10,la,10x10,8,9,27,23,50,0.54,0.040000000000000036,8->9,0.54
la_10x5,la,10x5,0,1,22,28,50,0.44,0.06,1->0,0.56
la_10x5,la,10x5,0,2,26,24,50,0.52,0.020000000000000018,0->2,0.52
la_10x5,la,10x5,0,3,30,20,50,0.6,0.09999999999999998,0->3,0.6
la_10x5,la,10x5,0,4,23,27,50,0.46,0.03999999999999998,4->0,0.54
la_10x5,la,10x5,1,2,25,25,50,0.5,0.0,1->2,0.5
la_10x5,la,10x5,1,3,27,23,50,0.54,0.040000000000000036,1->3,0.54
la_10x5,la,10x5,1,4,22,28,50,0.44,0.06,4->1,0.56
la_10x5,la,10x5,2,3,26,24,50,0.52,0.020000000000000018,2->3,0.52
la_10x5,la,10x5,2,4,19,31,50,0.38,0.12,4->2,0.62
la_10x5,la,10x5,3,4,23,27,50,0.46,0.03999999999999998,4->3,0.54
la_15x10,la,15x10,0,1,33,42,75,0.44,0.06,1->0,0.56
la_15x10,la,15x10,0,2,34,41,75,0.4533333333333333,0.04666666666666669,2->0,0.5466666666666666
la_15x10,la,15x10,0,3,37,38,75,0.49333333333333335,0.006666666666666654,3->0,0.5066666666666666
la_15x10,la,15x10,0,4,31,44,75,0.41333333333333333,0.08666666666666667,4->0,0.5866666666666667
la_15x10,la,15x10,0,5,39,36,75,0.52,0.020000000000000018,0->5,0.52
la_15x10,la,15x10,0,6,34,41,75,0.4533333333333333,0.04666666666666669,6->0,0.5466666666666666
la_15x10,la,15x10,0,7,38,37,75,0.5066666666666667,0.00666666666666671,0->7,0.5066666666666667
la_15x10,la,15x10,0,8,37,38,75,0.49333333333333335,0.006666666666666654,8->0,0.5066666666666666
la_15x10,la,15x10,0,9,37,38,75,0.49333333333333335,0.006666666666666654,9->0,0.5066666666666666
la_15x10,la,15x10,1,2,26,49,75,0.3466666666666667,0.15333333333333332,2->1,0.6533333333333333
la_15x10,la,15x10,1,3,34,41,75,0.4533333333333333,0.04666666666666669,3->1,0.5466666666666666
la_15x10,la,15x10,1,4,34,41,75,0.4533333333333333,0.04666666666666669,4->1,0.5466666666666666
la_15x10,la,15x10,1,5,34,41,75,0.4533333333333333,0.04666666666666669,5->1,0.5466666666666666
la_15x10,la,15x10,1,6,34,41,75,0.4533333333333333,0.04666666666666669,6->1,0.5466666666666666
la_15x10,la,15x10,1,7,39,36,75,0.52,0.020000000000000018,1->7,0.52
la_15x10,la,15x10,1,8,37,38,75,0.49333333333333335,0.006666666666666654,8->1,0.5066666666666666
la_15x10,la,15x10,1,9,38,37,75,0.5066666666666667,0.00666666666666671,1->9,0.5066666666666667
la_15x10,la,15x10,2,3,38,37,75,0.5066666666666667,0.00666666666666671,2->3,0.5066666666666667
la_15x10,la,15x10,2,4,38,37,75,0.5066666666666667,0.00666666666666671,2->4,0.5066666666666667
la_15x10,la,15x10,2,5,43,32,75,0.5733333333333334,0.07333333333333336,2->5,0.5733333333333334
la_15x10,la,15x10,2,6,44,31,75,0.5866666666666667,0.08666666666666667,2->6,0.5866666666666667
