file,benchmark_family,size_family,jobs,machines,position,machine,count,relative_frequency
abz5,abz,10x10,10,10,7,2,0,0.0
abz5,abz,10x10,10,10,7,3,0,0.0
abz5,abz,10x10,10,10,7,4,2,0.2
abz5,abz,10x10,10,10,7,5,3,0.3
abz5,abz,10x10,10,10,7,6,0,0.0
abz5,abz,10x10,10,10,7,7,1,0.1
abz5,abz,10x10,10,10,7,8,0,0.0
abz5,abz,10x10,10,10,7,9,1,0.1
abz5,abz,10x10,10,10,8,0,1,0.1
abz5,abz,10x10,10,10,8,1,0,0.0
abz5,abz,10x10,10,10,8,2,1,0.1
abz5,abz,10x10,10,10,8,3,1,0.1
abz5,abz,10x10,10,10,8,4,0,0.0
abz5,abz,10x10,10,10,8,5,1,0.1
abz5,abz,10x10,10,10,8,6,1,0.1
abz5,abz,10x10,10,10,8,7,2,0.2
abz5,abz,10x10,10,10,8,8,2,0.2
abz5,abz,10x10,10,10,8,9,1,0.1
abz5,abz,10x10,10,10,9,0,1,0.1
abz5,abz,10x10,10,10,9,1,1,0.1
abz5,abz,10x10,10,10,9,2,1,0.1
abz5,abz,10x10,10,10,9,3,2,0.2
abz5,abz,10x10,10,10,9,4,0,0.0
abz5,abz,10x10,10,10,9,5,0,0.0
abz5,abz,10x10,10,10,9,6,0,0.0
abz5,abz,10x10,10,10,9,7,0,0.0
abz5,abz,10x10,10,10,9,8,1,0.1
abz5,abz,10x10,10,10,9,9,4,0.4
abz6,abz,10x10,10,10,0,0,1,0.1
abz6,abz,10x10,10,10,0,1,1,0.1
abz6,abz,10x10,10,10,0,2,0,0.0
abz6,abz,10x10,10,10,0,3,1,0.1
abz6,abz,10x10,10,10,0,4,2,0.2
abz6,abz,10x10,10,10,0,5,2,0.2
abz6,abz,10x10,10,10,0,6,0,0.0
abz6,abz,10x10,10,10,0,7,1,0.1
abz6,abz,10x10,10,10,0,8,1,0.1
abz6,abz,10x10,10,10,0,9,1,0.1
abz6,abz,10x10,10,10,1,0,0,0.0
abz6,abz,10x10,10,10,1,1,0,0.0
abz6,abz,10x10,10,10,1,2,2,0.2
abz6,abz,10x10,10,10,1,3,1,0.1
abz6,abz,10x10,10,10,1,4,0,0.0
abz6,abz,10x10,10,10,1,5,0,0.0
abz6,abz,10x10,10,10,1,6,2,0.2
abz6,abz,10x10,10,10,1,7,1,0.1
abz6,abz,10x10,10,10,1,8,2,0.2
abz6,abz,10x10,10,10,1,9,2,0.2
abz6,abz,10x10,10,10,2,0,0,0.0
abz6,abz,10x10,10,10,2,1,0,0.0
abz6,abz,10x10,10,10,2,2,0,0.0
abz6,abz,10x10,10,10,2,3,0,0.0
abz6,abz,10x10,10,10,2,4,0,0.0
abz6,abz,10x10,10,10,2,5,5,0.5
abz6,abz,10x10,10,10,2,6,1,0.1
abz6,abz,10x10,10,10,2,7,3,0.3
abz6,abz,10x10,10,10,2,8,1,0.1
abz6,abz,10x10,10,10,2,9,0,0.0
abz6,abz,10x10,10,10,3,0,0,0.0
abz6,abz,10x10,10,10,3,1,0,0.0
abz6,abz,10x10,10,10,3,2,3,0.3
abz6,abz,10x10,10,10,3,3,2,0.2
abz6,abz,10x10,10,10,3,4,0,0.0
abz6,abz,10x10,10,10,3,5,0,0.0
abz6,abz,10x10,10,10,3,6,1,0.1
abz6,abz,10x10,10,10,3,7,0,0.0
abz6,abz,10x10,10,10,3,8,2,0.2
abz6,abz,10x10,10,10,3,9,2,0.2
abz6,abz,10x10,10,10,4,0,0,0.0
abz6,abz,10x10,10,10,4,1,2,0.2
abz6,abz,10x10,10,10,4,2,0,0.0
abz6,abz,10x10,10,10,4,3,1,0.1
abz6,abz,10x10,10,10,4,4,3,0.3
abz6,abz,10x10,10,10,4,5,0,0.0
abz6,abz,10x10,10,10,4,6,0,0.0
abz6,abz,10x10,10,10,4,7,1,0.1
abz6,abz,10x10,10,10,4,8,0,0.0
abz6,abz,10x10,10,10,4,9,3,0.3
abz6,abz,10x10,10,10,5,0,4,0.4
abz6,abz,10x10,10,10,5,1,1,0.1
abz6,abz,10x10,10,10,5,2,1,0.1
abz6,abz,10x10,10,10,5,3,0,0.0
abz6,abz,10x10,10,10,5,4,1,0.1
abz6,abz,10x10,10,10,5,5,1,0.1
abz6,abz,10x10,10,10,5,6,2,0.2
abz6,abz,10x10,10,10,5,7,0,0.0
abz6,abz,10x10,10,10,5,8,0,0.0
abz6,abz,10x10,10,10,5,9,0,0.0
abz6,abz,10x10,10,10,6,0,1,0.1
abz6,abz,10x10,10,10,6,1,1,0.1
abz6,abz,10x10,10,10,6,2,2,0.2
abz6,abz,10x10,10,10,6,3,1,0.1
abz6,abz,10x10,10,10,6,4,2,0.2
abz6,abz,10x10,10,10,6,5,0,0.0
abz6,abz,10x10,10,10,6,6,1,0.1
abz6,abz,10x10,10,10,6,7,1,0.1
abz6,abz,10x10,10,10,6,8,1,0.1
abz6,abz,10x10,10,10,6,9,0,0.0
abz6,abz,10x10,10,10,7,0,1,0.1
abz6,abz,10x10,10,10,7,1,3,0.3
abz6,abz,10x10,10,10,7,2,0,0.0
abz6,abz,10x10,10,10,7,3,2,0.2
abz6,abz,10x10,10,10,7,4,1,0.1
abz6,abz,10x10,10,10,7,5,1,0.1
abz6,abz,10x10,10,10,7,6,0,0.0
abz6,abz,10x10,10,10,7,7,0,0.0
abz6,abz,10x10,10,10,7,8,2,0.2
abz6,abz,10x10,10,10,7,9,0,0.0
abz6,abz,10x10,10,10,8,0,3,0.3
abz6,abz,10x10,10,10,8,1,0,0.0
abz6,abz,10x10,10,10,8,2,0,0.0
abz6,abz,10x10,10,10,8,3,1,0.1
abz6,abz,10x10,10,10,8,4,1,0.1
abz6,abz,10x10,10,10,8,5,0,0.0
abz6,abz,10x10,10,10,8,6,1,0.1
abz6,abz,10x10,10,10,8,7,1,0.1
abz6,abz,10x10,10,10,8,8,1,0.1
abz6,abz,10x10,10,10,8,9,2,0.2
abz6,abz,10x10,10,10,9,0,0,0.0
abz6,abz,10x10,10,10,9,1,2,0.2
abz6,abz,10x10,10,10,9,2,2,0.2
abz6,abz,10x10,10,10,9,3,1,0.1
abz6,abz,10x10,10,10,9,4,0,0.0
abz6,abz,10x10,10,10,9,5,1,0.1
abz6,abz,10x10,10,10,9,6,2,0.2
abz6,abz,10x10,10,10,9,7,2,0.2
abz6,abz,10x10,10,10,9,8,0,0.0
abz6,abz,10x10,10,10,9,9,0,0.0
abz7,abz,20x15,20,15,0,0,1,0.05
abz7,abz,20x15,20,15,0,1,0,0.0
abz7,abz,20x15,20,15,0,2,1,0.05
abz7,abz,20x15,20,15,0,3,1,0.05
abz7,abz,20x15,20,15,0,4,0,0.0
abz7,abz,20x15,20,15,0,5,2,0.1
abz7,abz,20x15,20,15,0,6,2,0.1
abz7,abz,20x15,20,15,0,7,0,0.0
abz7,abz,20x15,20,15,0,8,2,0.1
abz7,abz,20x15,20,15,0,9,4,0.2
abz7,abz,20x15,20,15,0,10,1,0.05
abz7,abz,20x15,20,15,0,11,1,0.05
abz7,abz,20x15,20,15,0,12,3,0.15
abz7,abz,20x15,20,15,0,13,2,0.1
abz7,abz,20x15,20,15,0,14,0,0.0
abz7,abz,20x15,20,15,1,0,1,0.05
abz7,abz,20x15,20,15,1,1,2,0.1
abz7,abz,20x15,20,15,1,2,0,0.0
abz7,abz,20x15,20,15,1,3,3,0.15
abz7,abz,20x15,20,15,1,4,1,0.05
abz7,abz,20x15,20,15,1,5,3,0.15
abz7,abz,20x15,20,15,1,6,1,0.05
abz7,abz,20x15,20,15,1,7,0,0.0
abz7,abz,20x15,20,15,1,8,1,0.05
abz7,abz,20x15,20,15,1,9,0,0.0
abz7,abz,20x15,20,15,1,10,2,0.1
abz7,abz,20x15,20,15,1,11,3,0.15
abz7,abz,20x15,20,15,1,12,0,0.0
abz7,abz,20x15,20,15,1,13,1,0.05
abz7,abz,20x15,20,15,1,14,2,0.1
abz7,abz,20x15,20,15,2,0,1,0.05
abz7,abz,20x15,20,15,2,1,2,0.1
abz7,abz,20x15,20,15,2,2,2,0.1
abz7,abz,20x15,20,15,2,3,1,0.05
abz7,abz,20x15,20,15,2,4,0,0.0
abz7,abz,20x15,20,15,2,5,2,0.1
abz7,abz,20x15,20,15,2,6,2,0.1
abz7,abz,20x15,20,15,2,7,2,0.1
abz7,abz,20x15,20,15,2,8,1,0.05
abz7,abz,20x15,20,15,2,9,1,0.05
abz7,abz,20x15,20,15,2,10,0,0.0
abz7,abz,20x15,20,15,2,11,0,0.0
abz7,abz,20x15,20,15,2,12,3,0.15
abz7,abz,20x15,20,15,2,13,1,0.05
abz7,abz,20x15,20,15,2,14,2,0.1
abz7,abz,20x15,20,15,3,0,0,0.0
abz7,abz,20x15,20,15,3,1,3,0.15
abz7,abz,20x15,20,15,3,2,1,0.05
abz7,abz,20x15,20,15,3,3,1,0.05
abz7,abz,20x15,20,15,3,4,2,0.1
abz7,abz,20x15,20,15,3,5,0,0.0
abz7,abz,20x15,20,15,3,6,1,0.05
abz7,abz,20x15,20,15,3,7,2,0.1
abz7,abz,20x15,20,15,3,8,2,0.1
abz7,abz,20x15,20,15,3,9,1,0.05
abz7,abz,20x15,20,15,3,10,0,0.0
abz7,abz,20x15,20,15,3,11,1,0.05
abz7,abz,20x15,20,15,3,12,3,0.15
abz7,abz,20x15,20,15,3,13,1,0.05
abz7,abz,20x15,20,15,3,14,2,0.1
abz7,abz,20x15,20,15,4,0,3,0.15
abz7,abz,20x15,20,15,4,1,1,0.05
abz7,abz,20x15,20,15,4,2,1,0.05
abz7,abz,20x15,20,15,4,3,2,0.1
abz7,abz,20x15,20,15,4,4,2,0.1
abz7,abz,20x15,20,15,4,5,3,0.15
abz7,abz,20x15,20,15,4,6,0,0.0
abz7,abz,20x15,20,15,4,7,5,0.25
abz7,abz,20x15,20,15,4,8,0,0.0
abz7,abz,20x15,20,15,4,9,0,0.0
abz7,abz,20x15,20,15,4,10,0,0.0
abz7,abz,20x15,20,15,4,11,0,0.0
abz7,abz,20x15,20,15,4,12,2,0.1
abz7,abz,20x15,20,15,4,13,1,0.05
abz7,abz,20x15,20,15,4,14,0,0.0
abz7,abz,20x15,20,15,5,0,1,0.05
abz7,abz,20x15,20,15,5,1,2,0.1
abz7,abz,20x15,20,15,5,2,0,0.0
abz7,abz,20x15,20,15,5,3,2,0.1
abz7,abz,20x15,20,15,5,4,3,0.15
abz7,abz,20x15,20,15,5,5,3,0.15
abz7,abz,20x15,20,15,5,6,2,0.1
abz7,abz,20x15,20,15,5,7,0,0.0
abz7,abz,20x15,20,15,5,8,2,0.1
abz7,abz,20x15,20,15,5,9,0,0.0
abz7,abz,20x15,20,15,5,10,1,0.05
abz7,abz,20x15,20,15,5,11,2,0.1
abz7,abz,20x15,20,15,5,12,0,0.0
abz7,abz,20x15,20,15,5,13,2,0.1
abz7,abz,20x15,20,15,5,14,0,0.0
abz7,abz,20x15,20,15,6,0,2,0.1
abz7,abz,20x15,20,15,6,1,0,0.0
abz7,abz,20x15,20,15,6,2,2,0.1
abz7,abz,20x15,20,15,6,3,1,0.05
abz7,abz,20x15,20,15,6,4,0,0.0
abz7,abz,20x15,20,15,6,5,1,0.05
abz7,abz,20x15,20,15,6,6,1,0.05
abz7,abz,20x15,20,15,6,7,0,0.0
abz7,abz,20x15,20,15,6,8,5,0.25
abz7,abz,20x15,20,15,6,9,3,0.15
abz7,abz,20x15,20,15,6,10,1,0.05
abz7,abz,20x15,20,15,6,11,2,0.1
abz7,abz,20x15,20,15,6,12,1,0.05
abz7,abz,20x15,20,15,6,13,0,0.0
abz7,abz,20x15,20,15,6,14,1,0.05
abz7,abz,20x15,20,15,7,0,1,0.05
abz7,abz,20x15,20,15,7,1,0,0.0
abz7,abz,20x15,20,15,7,2,1,0.05
abz7,abz,20x15,20,15,7,3,1,0.05
abz7,abz,20x15,20,15,7,4,1,0.05
abz7,abz,20x15,20,15,7,5,2,0.1
abz7,abz,20x15,20,15,7,6,2,0.1
abz7,abz,20x15,20,15,7,7,1,0.05
abz7,abz,20x15,20,15,7,8,1,0.05
abz7,abz,20x15,20,15,7,9,2,0.1
abz7,abz,20x15,20,15,7,10,3,0.15
abz7,abz,20x15,20,15,7,11,0,0.0
abz7,abz,20x15,20,15,7,12,0,0.0
abz7,abz,20x15,20,15,7,13,3,0.15
abz7,abz,20x15,20,15,7,14,2,0.1
abz7,abz,20x15,20,15,8,0,2,0.1
abz7,abz,20x15,20,15,8,1,3,0.15
abz7,abz,20x15,20,15,8,2,1,0.05
abz7,abz,20x15,20,15,8,3,3,0.15
abz7,abz,20x15,20,15,8,4,0,0.0
abz7,abz,20x15,20,15,8,5,1,0.05
abz7,abz,20x15,20,15,8,6,0,0.0
abz7,abz,20x15,20,15,8,7,1,0.05
abz7,abz,20x15,20,15,8,8,1,0.05
abz7,abz,20x15,20,15,8,9,1,0.05
abz7,abz,20x15,20,15,8,10,1,0.05
abz7,abz,20x15,20,15,8,11,2,0.1
abz7,abz,20x15,20,15,8,12,0,0.0
abz7,abz,20x15,20,15,8,13,1,0.05
abz7,abz,20x15,20,15,8,14,3,0.15
abz7,abz,20x15,20,15,9,0,0,0.0
abz7,abz,20x15,20,15,9,1,1,0.05
abz7,abz,20x15,20,15,9,2,3,0.15
abz7,abz,20x15,20,15,9,3,2,0.1
abz7,abz,20x15,20,15,9,4,1,0.05
abz7,abz,20x15,20,15,9,5,2,0.1
abz7,abz,20x15,20,15,9,6,1,0.05
abz7,abz,20x15,20,15,9,7,4,0.2
abz7,abz,20x15,20,15,9,8,1,0.05
abz7,abz,20x15,20,15,9,9,1,0.05
abz7,abz,20x15,20,15,9,10,2,0.1
abz7,abz,20x15,20,15,9,11,2,0.1
abz7,abz,20x15,20,15,9,12,0,0.0
abz7,abz,20x15,20,15,9,13,0,0.0
abz7,abz,20x15,20,15,9,14,0,0.0
abz7,abz,20x15,20,15,10,0,1,0.05
abz7,abz,20x15,20,15,10,1,1,0.05
abz7,abz,20x15,20,15,10,2,3,0.15
abz7,abz,20x15,20,15,10,3,0,0.0
abz7,abz,20x15,20,15,10,4,3,0.15
abz7,abz,20x15,20,15,10,5,1,0.05
abz7,abz,20x15,20,15,10,6,0,0.0
abz7,abz,20x15,20,15,10,7,1,0.05
abz7,abz,20x15,20,15,10,8,0,0.0
abz7,abz,20x15,20,15,10,9,0,0.0
abz7,abz,20x15,20,15,10,10,3,0.15
abz7,abz,20x15,20,15,10,11,2,0.1
abz7,abz,20x15,20,15,10,12,1,0.05
abz7,abz,20x15,20,15,10,13,1,0.05
abz7,abz,20x15,20,15,10,14,3,0.15
abz7,abz,20x15,20,15,11,0,1,0.05
abz7,abz,20x15,20,15,11,1,3,0.15
abz7,abz,20x15,20,15,11,2,2,0.1
abz7,abz,20x15,20,15,11,3,0,0.0
abz7,abz,20x15,20,15,11,4,1,0.05
abz7,abz,20x15,20,15,11,5,0,0.0
abz7,abz,20x15,20,15,11,6,1,0.05
abz7,abz,20x15,20,15,11,7,0,0.0
abz7,abz,20x15,20,15,11,8,1,0.05
abz7,abz,20x15,20,15,11,9,2,0.1
abz7,abz,20x15,20,15,11,10,2,0.1
abz7,abz,20x15,20,15,11,11,3,0.15
abz7,abz,20x15,20,15,11,12,1,0.05
abz7,abz,20x15,20,15,11,13,1,0.05
abz7,abz,20x15,20,15,11,14,2,0.1
abz7,abz,20x15,20,15,12,0,0,0.0
abz7,abz,20x15,20,15,12,1,1,0.05
abz7,abz,20x15,20,15,12,2,1,0.05
abz7,abz,20x15,20,15,12,3,2,0.1
abz7,abz,20x15,20,15,12,4,1,0.05
abz7,abz,20x15,20,15,12,5,0,0.0
abz7,abz,20x15,20,15,12,6,2,0.1
abz7,abz,20x15,20,15,12,7,1,0.05
abz7,abz,20x15,20,15,12,8,2,0.1
abz7,abz,20x15,20,15,12,9,1,0.05
abz7,abz,20x15,20,15,12,10,1,0.05
abz7,abz,20x15,20,15,12,11,2,0.1
abz7,abz,20x15,20,15,12,12,0,0.0
abz7,abz,20x15,20,15,12,13,4,0.2
abz7,abz,20x15,20,15,12,14,2,0.1
abz7,abz,20x15,20,15,13,0,1,0.05
abz7,abz,20x15,20,15,13,1,0,0.0
abz7,abz,20x15,20,15,13,2,2,0.1
abz7,abz,20x15,20,15,13,3,0,0.0
abz7,abz,20x15,20,15,13,4,3,0.15
abz7,abz,20x15,20,15,13,5,0,0.0
abz7,abz,20x15,20,15,13,6,2,0.1
abz7,abz,20x15,20,15,13,7,1,0.05
abz7,abz,20x15,20,15,13,8,1,0.05
abz7,abz,20x15,20,15,13,9,4,0.2
abz7,abz,20x15,20,15,13,10,1,0.05
abz7,abz,20x15,20,15,13,11,0,0.0
abz7,abz,20x15,20,15,13,12,4,0.2
abz7,abz,20x15,20,15,13,13,1,0.05
abz7,abz,20x15,20,15,13,14,0,0.0
abz7,abz,20x15,20,15,14,0,5,0.25
abz7,abz,20x15,20,15,14,1,1,0.05
abz7,abz,20x15,20,15,14,2,0,0.0
abz7,abz,20x15,20,15,14,3,1,0.05
abz7,abz,20x15,20,15,14,4,2,0.1
abz7,abz,20x15,20,15,14,5,0,0.0
abz7,abz,20x15,20,15,14,6,3,0.15
abz7,abz,20x15,20,15,14,7,2,0.1
abz7,abz,20x15,20,15,14,8,0,0.0
abz7,abz,20x15,20,15,14,9,0,0.0
abz7,abz,20x15,20,15,14,10,2,0.1
abz7,abz,20x15,20,15,14,11,0,0.0
abz7,abz,20x15,20,15,14,12,2,0.1
abz7,abz,20x15,20,15,14,13,1,0.05
abz7,abz,20x15,20,15,14,14,1,0.05
abz8,abz,20x15,20,15,0,0,1,0.05
abz8,abz,20x15,20,15,0,1,1,0.05
abz8,abz,20x15,20,15,0,2,1,0.05
abz8,abz,20x15,20,15,0,3,1,0.05
abz8,abz,20x15,20,15,0,4,0,0.0
abz8,abz,20x15,20,15,0,5,0,0.0
abz8,abz,20x15,20,15,0,6,2,0.1
abz8,abz,20x15,20,15,0,7,0,0.0
abz8,abz,20x15,20,15,0,8,4,0.2
abz8,abz,20x15,20,15,0,9,1,0.05
abz8,abz,20x15,20,15,0,10,1,0.05
abz8,abz,20x15,20,15,0,11,4,0.2
abz8,abz,20x15,20,15,0,12,1,0.05
abz8,abz,20x15,20,15,0,13,0,0.0
abz8,abz,20x15,20,15,0,14,3,0.15
abz8,abz,20x15,20,15,1,0,2,0.1
abz8,abz,20x15,20,15,1,1,0,0.0
abz8,abz,20x15,20,15,1,2,1,0.05
abz8,abz,20x15,20,15,1,3,4,0.2
abz8,abz,20x15,20,15,1,4,0,0.0
abz8,abz,20x15,20,15,1,5,0,0.0
abz8,abz,20x15,20,15,1,6,1,0.05
abz8,abz,20x15,20,15,1,7,1,0.05
abz8,abz,20x15,20,15,1,8,2,0.1
abz8,abz,20x15,20,15,1,9,1,0.05
abz8,abz,20x15,20,15,1,10,2,0.1
abz8,abz,20x15,20,15,1,11,0,0.0
abz8,abz,20x15,20,15,1,12,3,0.15
abz8,abz,20x15,20,15,1,13,2,0.1
abz8,abz,20x15,20,15,1,14,1,0.05
abz8,abz,20x15,20,15,2,0,2,0.1
abz8,abz,20x15,20,15,2,1,2,0.1
abz8,abz,20x15,20,15,2,2,2,0.1
abz8,abz,20x15,20,15,2,3,1,0.05
abz8,abz,20x15,20,15,2,4,0,0.0
abz8,abz,20x15,20,15,2,5,2,0.1
abz8,abz,20x15,20,15,2,6,0,0.0
abz8,abz,20x15,20,15,2,7,0,0.0
abz8,abz,20x15,20,15,2,8,1,0.05
abz8,abz,20x15,20,15,2,9,1,0.05
abz8,abz,20x15,20,15,2,10,1,0.05
abz8,abz,20x15,20,15,2,11,2,0.1
abz8,abz,20x15,20,15,2,12,2,0.1
abz8,abz,20x15,20,15,2,13,1,0.05
abz8,abz,20x15,20,15,2,14,3,0.15
abz8,abz,20x15,20,15,3,0,0,0.0
abz8,abz,20x15,20,15,3,1,1,0.05
abz8,abz,20x15,20,15,3,2,0,0.0
abz8,abz,20x15,20,15,3,3,1,0.05
abz8,abz,20x15,20,15,3,4,0,0.0
abz8,abz,20x15,20,15,3,5,2,0.1
abz8,abz,20x15,20,15,3,6,2,0.1
abz8,abz,20x15,20,15,3,7,1,0.05
abz8,abz,20x15,20,15,3,8,3,0.15
abz8,abz,20x15,20,15,3,9,3,0.15
abz8,abz,20x15,20,15,3,10,1,0.05
abz8,abz,20x15,20,15,3,11,0,0.0
abz8,abz,20x15,20,15,3,12,2,0.1
abz8,abz,20x15,20,15,3,13,3,0.15
abz8,abz,20x15,20,15,3,14,1,0.05
abz8,abz,20x15,20,15,4,0,0,0.0
abz8,abz,20x15,20,15,4,1,0,0.0
abz8,abz,20x15,20,15,4,2,1,0.05
abz8,abz,20x15,20,15,4,3,0,0.0
abz8,abz,20x15,20,15,4,4,4,0.2
abz8,abz,20x15,20,15,4,5,4,0.2
abz8,abz,20x15,20,15,4,6,1,0.05
abz8,abz,20x15,20,15,4,7,0,0.0
abz8,abz,20x15,20,15,4,8,2,0.1
abz8,abz,20x15,20,15,4,9,3,0.15
abz8,abz,20x15,20,15,4,10,4,0.2
abz8,abz,20x15,20,15,4,11,0,0.0
abz8,abz,20x15,20,15,4,12,0,0.0
abz8,abz,20x15,20,15,4,13,0,0.0
abz8,abz,20x15,20,15,4,14,1,0.05
abz8,abz,20x15,20,15,5,0,1,0.05
abz8,abz,20x15,20,15,5,1,2,0.1
abz8,abz,20x15,20,15,5,2,0,0.0
abz8,abz,20x15,20,15,5,3,2,0.1
abz8,abz,20x15,20,15,5,4,0,0.0
abz8,abz,20x15,20,15,5,5,0,0.0
abz8,abz,20x15,20,15,5,6,3,0.15
abz8,abz,20x15,20,15,5,7,3,0.15
abz8,abz,20x15,20,15,5,8,1,0.05
abz8,abz,20x15,20,15,5,9,2,0.1
abz8,abz,20x15,20,15,5,10,0,0.0
abz8,abz,20x15,20,15,5,11,1,0.05
abz8,abz,20x15,20,15,5,12,2,0.1
abz8,abz,20x15,20,15,5,13,1,0.05
abz8,abz,20x15,20,15,5,14,2,0.1
abz8,abz,20x15,20,15,6,0,2,0.1
abz8,abz,20x15,20,15,6,1,1,0.05
abz8,abz,20x15,20,15,6,2,2,0.1
abz8,abz,20x15,20,15,6,3,0,0.0
abz8,abz,20x15,20,15,6,4,1,0.05
abz8,abz,20x15,20,15,6,5,3,0.15
abz8,abz,20x15,20,15,6,6,3,0.15
abz8,abz,20x15,20,15,6,7,1,0.05
abz8,abz,20x15,20,15,6,8,2,0.1
abz8,abz,20x15,20,15,6,9,1,0.05
abz8,abz,20x15,20,15,6,10,0,0.0
abz8,abz,20x15,20,15,6,11,0,0.0
abz8,abz,20x15,20,15,6,12,0,0.0
abz8,abz,20x15,20,15,6,13,2,0.1
abz8,abz,20x15,20,15,6,14,2,0.1
abz8,abz,20x15,20,15,7,0,2,0.1
abz8,abz,20x15,20,15,7,1,0,0.0
abz8,abz,20x15,20,15,7,2,0,0.0
abz8,abz,20x15,20,15,7,3,3,0.15
abz8,abz,20x15,20,15,7,4,7,0.35
abz8,abz,20x15,20,15,7,5,1,0.05
abz8,abz,20x15,20,15,7,6,2,0.1
abz8,abz,20x15,20,15,7,7,1,0.05
abz8,abz,20x15,20,15,7,8,0,0.0
abz8,abz,20x15,20,15,7,9,1,0.05
abz8,abz,20x15,20,15,7,10,1,0.05
abz8,abz,20x15,20,15,7,11,1,0.05
abz8,abz,20x15,20,15,7,12,0,0.0
abz8,abz,20x15,20,15,7,13,1,0.05
abz8,abz,20x15,20,15,7,14,0,0.0
abz8,abz,20x15,20,15,8,0,3,0.15
abz8,abz,20x15,20,15,8,1,1,0.05
abz8,abz,20x15,20,15,8,2,3,0.15
abz8,abz,20x15,20,15,8,3,2,0.1
abz8,abz,20x15,20,15,8,4,0,0.0
abz8,abz,20x15,20,15,8,5,2,0.1
abz8,abz,20x15,20,15,8,6,0,0.0
abz8,abz,20x15,20,15,8,7,1,0.05
abz8,abz,20x15,20,15,8,8,1,0.05
abz8,abz,20x15,20,15,8,9,1,0.05
abz8,abz,20x15,20,15,8,10,2,0.1
abz8,abz,20x15,20,15,8,11,1,0.05
